NP_570602.2	A1BG
NP_005907.3	MCM7
NP_758861.1	CD46
NP_109588.2	SMCP
NP_002381.2	ADAM11
NP_005577.1	MDFI
NP_036460.1	DNAJB9
NP_005908.1	MDH1
NP_005909.2	MDH2
NP_002382.1	MDK
NP_002383.2	MDM2
NP_002384.2	MDM4
NP_002386.1	ME1
NP_002387.1	ME2
NP_055438.1	MEA1
NP_004983.1	MECP2
NP_001104262.1	MECP2
NP_001306135.1	MEF2A
NP_002388.2	MEF2C
NP_005911.1	MEF2D
NP_000234.1	MEFV
NP_002389.1	MEIS1
NP_733775.1	MEIS2
NP_005912.1	MAP3K1
NP_002392.2	MAP3K3
NP_005913.3	MAP3K4
NP_005914.1	MAP3K5
NP_005361.2	RAB8A
NP_001357188.2	MEN1
NP_004518.1	MEOX1
NP_005915.2	MEOX2
NP_005579.2	MEP1A
NP_005916.2	MEP1B
NP_002393.2	MEST
NP_000236.2	MET
NP_005362.3	METTL1
NP_005917.2	MFAP1
NP_002394.1	MFAP2
NP_005918.1	MFAP3
NP_002395.1	MFAP4
NP_005919.2	MFGE8
NP_005920.2	MELTF
NP_002396.2	MFNG
NP_002397.2	MGAT1
NP_002398.1	SCGB2A1
NP_002399.1	MGAT2
NP_002400.3	MGAT3
NP_002401.1	MGAT5
NP_002402.1	SCGB2A2
NP_001316143.1	MIA2
NP_000890.1	KITLG
NP_002403.3	MGMT
NP_000891.2	MGP
NP_064696.1	MGST1
NP_002404.1	MGST2
NP_004519.1	MGST3
NP_000237.2	CIITA
NP_002405.1	CD99
NP_005922.2	MICB
NP_000372.1	MID1
NP_002406.1	MIF
NP_002407.1	CXCL9
NP_036196.1	MIP
NP_005923.3	MIPEP
NP_001341533.1	MITF
NP_000239.1	MITF
NP_004984.2	ATXN3
NP_002408.3	MKI67
NP_037387.2	MKLN1
NP_001356712.1	MLF1
NP_000240.1	MLH1
NP_001271159.1	MAP3K9
NP_002437.2	MAP3K10
NP_002409.1	MLN
NP_002410.1	MAP3K11
NP_001184033.1	KMT2A
NP_005925.2	MLLT1
NP_001160165.1	AFF1
NP_004520.2	MLLT3
NP_001373817.1	AFDN
NP_005928.2	MLLT6
NP_005929.2	FOXO4
NP_000892.2	NR3C2
NP_001238953.1	TRPM1
NP_009220.2	MME
NP_002412.1	MMP1
NP_004521.1	MMP2
NP_002413.1	MMP3
NP_002414.1	MMP7
NP_002415.1	MMP8
NP_004985.2	MMP9
NP_002416.1	MMP10
NP_005931.2	MMP11
NP_002417.2	MMP12
NP_002418.1	MMP13
NP_004986.1	MMP14
NP_002419.1	MMP15
NP_005932.2	MMP16
NP_057239.4	MMP17
NP_002420.1	MMP19
NP_005580.1	ALDH6A1
NP_002421.3	MN1
NP_002422.1	MNAT1
NP_002423.1	MNDA
NP_064706.1	MNT
NP_001380633.1	MOBP
NP_001345459.1	MOCS1
NP_004522.1	MOCS2
NP_789776.1	MOCS2
NP_996532.2	MOG
NP_005363.1	MOS
NP_001308253.1	MOV10
NP_005935.4	CD200
NP_001015052.1	MPG
NP_002426.1	MPI
NP_005364.1	MPL
NP_000241.1	MPO
NP_002427.1	MPP1
NP_005365.4	MPP2
NP_001923.2	MPP3
NP_066949.2	MPST
NP_002428.1	MPV17
NP_000521.2	MPZ
NP_002429.1	MRC1
NP_005582.1	MRE11
NP_004987.2	ABCC1
NP_001123630.1	MYO1B
NP_001138359.1	CITED1
NP_000242.1	MSH2
NP_002430.3	MSH3
NP_002431.2	MSH4
NP_751898.1	MSH5
NP_002433.1	MSI1
NP_002434.1	MSMB
NP_002435.1	MSN
NP_619729.1	MSR1
NP_036463.1	MSRA
NP_066278.3	MST1
NP_002438.2	MST1R
NP_002439.2	MSX1
NP_002440.2	MSX2
NP_005937.2	MT1A
NP_005938.1	MT1B
NP_001350484.1	MT1E
NP_005940.1	MT1F
NP_001288196.1	MT1G
NP_005942.1	MT1H
NP_789846.2	MT1M
NP_005943.1	MT1X
NP_005944.1	MT2A
NP_005945.1	MT3
NP_002442.2	MTAP
NP_001018025.1	MTCP1
NP_005946.2	MTF1
NP_002443.3	NUDT1
NP_005947.3	MTHFD1
NP_005948.3	MTHFR
NP_002444.2	MTIF2
NP_000243.1	MTM1
NP_036467.2	MYO1F
NP_005949.1	MTNR1A
NP_005950.1	MTNR1B
NP_001373069.1	MTTP
NP_000245.2	MTR
NP_002445.2	MTRR
NP_002446.3	MTX1
NP_002448.5	MUC2
NP_005951.1	MUC3A
NP_060876.5	MUC4
NP_001291288.1	MUC5AC
NP_005952.2	MUC6
NP_689504.2	MUC7
NP_056109.1	TRIM37
NP_005583.1	MUSK
NP_000246.2	MMUT
NP_001041639.1	MUTYH
NP_001121897.1	MUTYH
NP_002452.1	MVD
NP_000422.1	MVK
NP_002453.2	MX1
NP_002454.1	MX2
NP_569157.2	MXI1
NP_001123645.1	MYB
NP_001073885.1	MYBL1
NP_002456.2	MYBPC1
NP_002457.1	MYBL2
NP_004524.3	MYBPC2
NP_000247.2	MYBPC3
NP_004988.2	MYBPH
NP_002458.2	MYC
NP_001028253.1	MYCL
NP_005369.2	MYCN
NP_002459.3	MYD88
NP_056490.2	GADD45B
NP_005584.2	MYF5
NP_002460.1	MYF6
NP_005954.3	MYH1
NP_060004.3	MYH2
NP_002461.2	MYH3
NP_060003.2	MYH4
NP_002462.2	MYH6
NP_000248.2	MYH7
NP_002463.2	MYH8
NP_002464.1	MYH9
NP_001242941.1	MYH10
NP_002465.1	MYH11
NP_001035202.1	MYH11
NP_524144.1	MYL1
NP_000423.2	MYL2
NP_000249.1	MYL3
NP_002467.1	MYL4
NP_002468.1	MYL5
NP_066299.2	MYL6
NP_444253.3	MYLK
NP_005370.1	MYO1A
NP_001074248.1	MYO1C
NP_056009.1	MYO1D
NP_004989.2	MYO1E
NP_001369276.1	MYO5A
NP_001073936.1	MYO5B
NP_004990.3	MYO6
NP_000251.3	MYO7A
NP_001380515.1	MYO7B
NP_008832.2	MYO9A
NP_004136.2	MYO9B
NP_036466.2	MYO10
NP_000252.1	MYOC
NP_002469.2	MYOD1
NP_002470.2	MYOG
NP_002471.1	PPP1R12A
NP_002472.2	PPP1R12B
NP_004526.1	MYT1
NP_005957.2	NAB1
NP_005958.1	NAB2
NP_001352825.1	NACA
NP_000253.1	NAGA
NP_000254.2	NAGLU
NP_005959.2	HNRNPM
NP_004527.2	NAIP
NP_004528.1	NAP1L1
NP_068798.1	NAP1L2
NP_004529.2	NAP1L3
NP_005960.1	NAP1L4
NP_004530.1	NARS1
NP_002473.2	NASP
NP_002474.4	CEACAM6
NP_005371.2	NBL1
NP_002475.2	NUBP1
NP_002476.2	NBN
NP_851996.2	NCAM1
NP_004531.2	NCAM2
NP_002477.1	NCBP1
NP_000424.2	NCF2
NP_000622.2	NCF4
NP_001278928.1	NCK1
NP_005372.2	NCL
NP_002478.1	NDN
NP_000257.1	NDP
NP_004532.1	NDUFA1
NP_002479.1	NDUFA2
NP_004533.1	NDUFA3
NP_002480.1	NDUFA4
NP_004991.1	NDUFA5
NP_002481.3	NDUFA6
NP_004992.2	NDUFA7
NP_055037.1	NDUFA8
NP_001157980.2	NEB
NP_001157979.2	NEB
NP_004993.1	NDUFA9
NP_004535.1	NDUFA10
NP_004994.1	NDUFAB1
NP_004536.3	NDUFB1
NP_004537.1	NDUFB2
NP_002482.1	NDUFB3
NP_004538.2	NDUFB4
NP_002483.1	NDUFB5
NP_002484.1	NDUFB6
NP_004137.2	NDUFB7
NP_004995.1	NDUFB8
NP_004996.1	NDUFB9
NP_004539.1	NDUFB10
NP_001171918.1	NDUFC1
NP_004540.1	NDUFC2
NP_004997.4	NDUFS1
NP_001364228.1	NDUFS2
NP_004542.1	NDUFS3
NP_009034.2	NDUFV1
NP_002486.1	NDUFS4
NP_004543.1	NDUFS5
NP_004544.1	NDUFS6
NP_002487.1	NDUFS8
NP_066552.2	NDUFV2
NP_066553.3	NDUFV3
NP_004138.1	DRG1
NP_006145.2	NEDD4
NP_004395.1	SEPTIN2
NP_009035.3	RPL10A
NP_006147.1	NEDD8
NP_006394.1	NEDD9
NP_005373.2	NEFM
NP_066554.2	NEFH
NP_006148.2	NELL1
NP_006149.2	NEFL
NP_001186326.1	NEK1
NP_002488.1	NEK2
NP_002489.1	NEK3
NP_001138580.1	NELL2
NP_002490.2	NEO1
NP_000425.1	NEU1
NP_005374.2	NEU2
NP_002491.3	NEUROD1
NP_006151.3	NEUROD2
NP_006152.2	NEUROG1
NP_001035957.1	NF1
NP_000259.1	NF2
NP_001265598.1	NFATC1
NP_036472.2	NFATC2
NP_001128145.1	NFIA
NP_775188.1	NFATC3
NP_004545.2	NFATC4
NP_001129495.1	NFE2
NP_003195.1	NFE2L1
NP_006155.2	NFE2L2
NP_001177666.1	NFIB
NP_001231931.1	NFIC
NP_005375.2	NFIL3
NP_001352831.1	NFIX
NP_003989.2	NFKB1
NP_001309863.1	NFKB2
NP_065390.1	NFKBIA
NP_002494.2	NFKBIB
NP_004547.3	NFKBIE
NP_004998.3	NFKBIL1
NP_038460.4	TONSL
NP_001137307.1	NFRKB
NP_002495.2	NFX1
NP_002496.1	NFYA
NP_006157.1	NFYB
NP_055038.2	NFYC
NP_002497.2	NGF
NP_002498.1	NGFR
NP_005589.1	NHLH1
NP_005590.1	NHLH2
NP_001003796.1	SNU13
NP_001278796.1	NHS
NP_002499.2	NID1
NP_004139.2	NINJ1
NP_057617.3	NINJ2
NP_005591.1	NIT1
NP_005592.1	NKG7
NP_005376.2	NKTR
NP_002500.1	NKX2-2
NP_006158.2	NKX3-1
NP_006159.2	NKX6-1
NP_005377.1	NNAT
NP_066563.2	NMB
NP_002502.2	NMBR
NP_000260.1	NME1
NP_002503.1	NME2
NP_002504.2	NME3
NP_005000.1	NME4
NP_000895.2	NQO2
NP_066565.1	NMT1
NP_006160.1	NNMT
NP_060525.3	NODAL
NP_001245237.1	NOP2
NP_031389.3	NONO
NP_000611.1	NOS1
NP_000616.3	NOS2
NP_000594.2	NOS3
NP_055330.1	CNOT2
NP_055331.1	CNOT3
NP_001177779.1	CNOT4
NP_060087.3	NOTCH1
NP_000896.1	NPY
NP_077719.2	NOTCH2
NP_000426.2	NOTCH3
NP_004548.3	NOTCH4
NP_002505.1	CCN3
NP_002506.2	NOVA1
NP_002507.1	NOVA2
NP_000261.2	PNP
NP_002508.2	NPAS1
NP_002509.2	NPAS2
NP_002510.2	NPAT
NP_000262.2	NPC1
NP_001121650.1	NPHP1
NP_004637.1	NPHS1
NP_002511.1	NPM1
NP_006163.1	NPPA
NP_002512.1	NPPB
NP_077720.1	NPPC
NP_000897.3	NPR1
NP_003986.2	NPR2
NP_001191304.1	NPR3
NP_002513.2	NPTX1
NP_002514.1	NPTX2
NP_000900.1	NPY1R
NP_000901.1	NPY2R
NP_006165.1	NPY5R
NP_000608.1	SLC11A2
NP_932326.2	NRAP
NP_002515.1	NRAS
NP_001032209.1	NRCAM
NP_001095132.1	NRDC
NP_005002.3	NRF1
NP_006167.1	NRGN
NP_001341697.1	NRL
NP_004549.1	NRTN
NP_004550.2	YBX1
NP_006169.2	NSF
NP_002517.1	NT5E
NP_001096124.1	NTF3
NP_006170.1	NTF4
NP_002519.2	NTHL1
NP_002520.2	NTRK1
NP_006171.2	NTRK2
NP_001012338.1	NTRK3
NP_006172.1	NTN3
NP_005003.2	ROR1
NP_004551.2	ROR2
NP_006173.2	DDR2
NP_006174.1	NTS
NP_002522.2	NTSR1
NP_006175.2	NUCB1
NP_005004.1	NUCB2
NP_006176.2	NUMA1
NP_002523.2	NUP88
NP_057404.2	NUP98
NP_006177.1	NR4A2
NP_002524.2	NVL
NP_000264.2	GPR143
NP_058132.2	OAS1
NP_002526.2	OAS2
NP_006178.2	OAS3
NP_000265.1	OAT
NP_002527.1	TBC1D25
NP_000266.2	OCA2
NP_006179.2	OCM2
NP_000267.2	OCRL
NP_002530.1	ODC1
NP_077721.2	ODF1
NP_001338507.1	ODF2
NP_005005.1	OMD
NP_002532.2	OGDH
NP_002533.1	OGG1
NP_054776.1	OGN
NP_002534.1	OLR1
NP_002535.3	OMG
NP_006180.1	OMP
NP_570850.2	OPA1
NP_001012393.1	OPCML
NP_002537.3	TNFRSF11B
NP_002538.1	OPHN1
NP_000902.3	OPRD1
NP_000903.2	OPRK1
NP_872588.1	OPRL1
NP_000905.3	OPRM1
NP_031400.2	SIX6
NP_002539.2	OR1D2
NP_001357569.2	OR1F1
NP_036500.2	OR2C1
NP_002541.2	OR3A1
NP_002542.4	OR3A2
NP_004144.2	ORC1
NP_006181.1	ORC2
NP_859525.1	ORC4
NP_002544.1	ORC5
NP_002546.3	SLC22A18
NP_000598.2	ORM1
NP_000599.1	ORM2
NP_002547.1	OSBP
NP_065391.1	OSM
NP_000522.3	OTC
NP_005593.2	CLDN11
NP_055377.1	OTX1
NP_068374.1	OTX2
NP_002548.3	OVGP1
NP_004552.2	OVOL1
NP_005006.4	OXA1L
NP_000427.1	OXCT1
NP_000906.1	OXT
NP_000907.2	OXTR
NP_002549.1	P2RX1
NP_002550.2	P2RX3
NP_002551.2	P2RX4
NP_002552.2	P2RX5
NP_002553.3	P2RX7
NP_002554.1	P2RY1
NP_002555.4	P2RY2
NP_002556.1	P2RY4
NP_001264133.1	P2RY6
NP_002557.2	P2RY11
NP_001017962.1	P4HA1
NP_000909.2	P4HB
NP_006182.2	PA2G4
NP_002558.1	PEBP1
NP_112241.2	PABPC3
NP_002560.1	FURIN
NP_002561.1	PCSK6
NP_002562.2	PAEP
NP_000421.1	PAFAH1B1
NP_002563.1	PAFAH1B2
NP_002564.1	PAFAH1B3
NP_000428.2	PAFAH2
NP_859048.1	PRDX1
NP_000268.1	PAH
NP_000593.1	SERPINE1
NP_002566.1	SERPINB2
NP_002567.3	PAK1
NP_002568.2	PAK2
NP_002569.1	PAK3
NP_002570.2	PALM
NP_001170777.1	PAM
NP_065923.1	CNTN3
NP_002571.1	REG3A
NP_002572.2	PAPPA
NP_004553.2	PRKN
NP_002573.1	PARN
NP_002574.2	PAWR
NP_001244025.1	PAX1
NP_000269.3	PAX2
NP_852123.1	PAX3
NP_001353039.1	PAX4
NP_057953.1	PAX5
NP_001355823.1	PAX6
NP_001128726.1	PAX7
NP_005379.3	PDCL
NP_001359005.1	PAX9
NP_002576.1	PBX1
NP_002577.2	PBX2
NP_006186.1	PBX3
NP_001035806.1	PC
NP_000272.1	PCBD1
NP_006187.2	PCBP1
NP_114366.1	PCBP2
NP_000273.2	PCCA
NP_000523.2	PCCB
NP_115796.2	PCDH1
NP_002579.2	PCDHGC3
NP_001166994.1	PCDH7
NP_002581.2	PCDH8
NP_982354.1	PCDH9
NP_000615.3	SERPINA5
NP_002582.3	PCK1
NP_004554.3	PCK2
NP_006188.4	PCM1
NP_001347381.1	PCMT1
NP_872590.1	PCNA
NP_006022.3	PCNT
NP_002584.2	PCOLCE
NP_002759.2	CHMP1A
NP_006189.2	PCP4
NP_000430.3	PCSK1
NP_001358972.1	PCSK5
NP_002585.2	PCSK2
NP_006192.1	CDK16
NP_002586.2	CDK17
NP_997667.1	CDK18
NP_001299602.1	PCYT1A
NP_002588.3	PDC
NP_005009.2	PDCD1
NP_002589.2	PDCD2
NP_001350800.1	PDE1A
NP_001177986.1	PDE1C
NP_002590.1	PDE2A
NP_000912.3	PDE3A
NP_000913.2	PDE3B
NP_001104777.1	PDE4A
NP_002591.2	PDE4B
NP_001092288.1	PDE4C
NP_001098101.1	PDE4D
NP_000431.2	PDE6A
NP_006195.3	PDE6C
NP_002592.1	PDE6D
NP_002593.1	PDE6G
NP_006196.1	PDE6H
NP_001229247.1	PDE7A
NP_002596.1	PDE8A
NP_002597.1	PDE9A
NP_000915.1	PDE1B
NP_148983.1	PDGFA
NP_002599.1	PDGFB
NP_006197.1	PDGFRA
NP_001359002.1	PDGFRL
NP_000274.3	PDE6B
NP_002600.1	PDGFRB
NP_000275.1	PDHA1
NP_005381.1	PDHA2
NP_000916.2	PDHB
NP_002601.1	PDK1
NP_002602.2	PDK2
NP_005382.1	PDK3
NP_002603.1	PDK4
NP_006199.2	ENPP1
NP_001035181.1	ENPP2
NP_005012.2	ENPP3
NP_002604.1	PDPK1
NP_000432.1	SLC26A4
NP_077722.1	PDYN
NP_001188254.1	PDZK1
NP_000433.4	PECAM1
NP_002606.3	SERPINF1
NP_006201.1	PEG3
NP_001129162.1	PENK
NP_000276.2	PEPD
NP_002607.2	PER1
NP_004555.1	GATB
NP_000457.1	PEX1
NP_000278.3	PEX6
NP_000279.1	PEX7
NP_002608.1	PEX10
NP_000277.1	PEX12
NP_002609.1	PEX13
NP_004556.1	PEX14
NP_002610.1	PF4
NP_002611.1	PF4V1
NP_036525.1	PFAS
NP_001138724.1	CFP
NP_002613.2	PFDN1
NP_036526.2	PFDN2
NP_002614.2	PFDN4
NP_002615.2	PFDN5
NP_001361314.1	ATP8B1
NP_002616.2	PFKFB1
NP_006203.2	PFKFB2
NP_004557.1	PFKFB3
NP_004558.1	PFKFB4
NP_002617.3	PFKL
NP_444506.2	VIT
NP_000280.1	PFKM
NP_002618.1	PFKP
NP_005013.1	PFN1
NP_444252.1	PFN2
NP_001274064.1	CDK14
NP_055039.1	PGA5
NP_002620.1	PGAM1
NP_000281.2	PGAM2
NP_002621.1	PGC
NP_002622.2	PGD
NP_002623.2	PGF
NP_005014.2	PGGT1B
NP_000282.1	PGK1
NP_620061.2	PGK2
NP_002624.2	PGM1
NP_056414.1	PGM3
NP_068800.2	PGM5
NP_000917.3	PGR
NP_001335875.1	ABCB1
NP_000434.1	ABCB4
NP_002625.1	PHB1
NP_005879.1	SLC25A3
NP_002626.1	SLC25A3
NP_000435.3	PHEX
NP_077084.2	PHF1
NP_005383.3	PHF2
NP_002628.2	PHKA1
NP_000283.1	PHKA2
NP_000284.1	PHKB
NP_006204.1	PHKG1
NP_000285.1	PHKG2
NP_006205.1	PHYH
NP_000286.3	SERPINA1
NP_002629.1	PI3
NP_006206.2	SERPINA4
NP_002630.2	SERPINB5
NP_004559.4	SERPINB6
NP_001130000.1	SERPINE2
NP_002631.3	SERPINB8
NP_004146.1	SERPINB9
NP_005015.1	SERPINB10
NP_001116224.1	SERPINI1
NP_036529.1	SERPINB13
NP_006208.1	SERPINI2
NP_002632.1	PIGA
NP_714969.1	PIGC
NP_002634.1	PIGF
NP_004560.1	PIGH
NP_002635.2	PIGR
NP_002636.2	PIK3C2A
NP_001364263.1	PIK3C2B
NP_001275701.1	PIK3C2G
NP_002638.2	PIK3C3
NP_006209.2	PIK3CA
NP_006210.1	PIK3CB
NP_002639.1	PIM1
NP_005017.3	PIK3CD
NP_001269355.1	PIK3CG
NP_852664.1	PIK3R1
NP_005018.2	PIK3R2
NP_477352.3	PI4KA
NP_001356552.1	PI4KB
NP_006212.1	PIN1
NP_006214.3	PIN4
NP_002643.1	PIP
NP_005019.2	PIP4K2A
NP_006215.1	PITPNA
NP_002644.4	PITX1
NP_000316.2	PITX2
NP_005020.1	PITX3
NP_001009944.3	PKD1
NP_000288.1	PKD2
NP_000289.1	PKLR
NP_619639.3	PKHD1
NP_002645.3	PKM
NP_004562.2	PKNOX1
NP_001005337.1	PKP1
NP_001005242.2	PKP2
NP_000919.1	PLA2G1B
NP_001382392.1	PLA2G2A
NP_077734.2	PLA2G4A
NP_000920.1	PLA2G5
NP_002646.2	PLAG1
NP_001304091.1	PLAGL1
NP_002648.1	PLAGL2
NP_000921.1	PLAT
NP_002649.2	PLAU
NP_002650.1	PLAUR
NP_004564.2	PLCB2
NP_000923.1	PLCB3
NP_001364071.1	PLCB4
NP_006216.2	PLCD1
NP_006217.3	PLCL1
NP_002651.2	PLCG1
NP_002652.2	PLCG2
NP_002653.1	PLD1
NP_002654.3	PLD2
NP_958786.1	PLEC
NP_958780.1	PLEC
NP_000292.1	PLG
NP_002655.2	PLEK
NP_002656.1	PLGLB2
NP_001027564.1	PLGLB1
NP_000925.2	SERPINF2
NP_002657.3	PLIN1
NP_005021.2	PLK1
NP_068702.1	FXYD1
NP_005962.1	FXYD3
NP_002658.1	PLN
NP_000293.2	PLOD1
NP_891988.1	PLOD2
NP_000524.3	PLP1
NP_002659.1	PLP2
NP_002660.1	PLRG1
NP_001138791.1	PLS1
NP_005023.2	PLS3
NP_066928.1	PLSCR1
NP_006218.1	PLTP
NP_115618.3	PLXNA1
NP_079455.3	PLXNA2
NP_001123554.1	PLXNB1
NP_005384.2	PLXNB3
NP_066950.1	PMAIP1
NP_002665.2	PMCH
NP_006219.1	PNOC
NP_150241.2	PML
NP_002667.2	PMM1
NP_000294.1	PMM2
NP_002668.1	PMP2
NP_000295.1	PMP22
NP_000525.1	PMS1
NP_005024.2	EXOSC9
NP_001001998.1	EXOSC10
NP_000526.2	PMS2
NP_073207.1	PRRX1
NP_000927.1	PNLIP
NP_006220.1	PNLIPRP1
NP_005387.3	PNLIPRP2
NP_002677.1	PNMT
NP_002678.3	PNN
NP_009037.1	UBL3
NP_002679.2	SEPTIN5
NP_001355700.1	SEPTIN4
NP_001018121.1	PODXL
NP_001317289.1	POLA1
NP_002681.1	POLB
NP_002682.2	POLD1
NP_006221.3	POLD2
NP_006222.2	POLE
NP_002683.2	POLE2
NP_002684.1	POLG
NP_006493.1	POLH
NP_000928.1	POLR2A
NP_000929.1	POLR2B
NP_116558.1	POLR2C
NP_004796.1	POLR2D
NP_002686.3	POLR2E
NP_068809.1	POLR2F
NP_002687.1	POLR2G
NP_006223.2	POLR2H
NP_006224.1	POLR2I
NP_006225.1	POLR2J
NP_005025.1	POLR2K
NP_066951.1	POLR2L
NP_005026.3	POLRMT
NP_000930.1	POMC
NP_000437.3	PON1
NP_000296.2	PON2
NP_000931.1	PON3
NP_001382342.1	POR
NP_000297.1	POU1F1
NP_006226.2	POU2AF1
NP_002688.3	POU2F1
NP_001381305.1	POU2F2
NP_002690.3	POU3F1
NP_005595.2	POU3F2
NP_006227.1	POU3F3
NP_000298.3	POU3F4
NP_006228.3	POU4F1
NP_004566.2	POU4F2
NP_002691.1	POU4F3
NP_002692.2	POU5F1
NP_001153014.1	POU5F1B
NP_001317351.1	POU6F1
NP_066952.1	PPA1
NP_005027.2	PPARA
NP_006229.1	PPARD
NP_619725.3	PPARG
NP_004765.2	MED1
NP_006230.2	PPEF2
NP_002694.3	PPAT
NP_002695.1	PPBP
NP_001364925.1	PPEF1
NP_000299.3	CTSA
NP_066953.1	PPIA
NP_000933.1	PPIB
NP_000934.1	PPIC
NP_005029.1	PPID
NP_002696.4	PPL
NP_066283.1	PPM1A
NP_002697.1	PPM1B
NP_817092.1	PPM1G
NP_001116236.1	PPOX
NP_002699.1	PPP1CA
NP_002700.1	PPP1CB
NP_002701.1	PPP1CC
NP_006732.3	PPP1R1A
NP_006232.1	PPP1R2
NP_002702.2	PPP1R3A
NP_005389.1	PPP1R3C
NP_006233.1	PPP1R3D
NP_002703.1	PPP1R7
NP_054829.2	PPP1R8
NP_002705.2	PPP1R10
NP_002706.1	PPP2CA
NP_001009552.1	PPP2CB
NP_055040.2	PPP2R1A
NP_002707.3	PPP2R1B
NP_002708.1	PPP2R2A
NP_858061.3	PPP2R2B
NP_065149.2	PPP2R2C
NP_002709.2	PPP2R3A
NP_821067.1	PTPA
NP_006234.1	PPP2R5A
NP_006235.1	PPP2R5B
NP_001339842.1	PPP2R5C
NP_006236.1	PPP2R5D
NP_006237.1	PPP2R5E
NP_000935.1	PPP3CA
NP_002711.1	PPP4C
NP_066955.1	PPP3CB
NP_005596.2	PPP3CC
NP_000936.1	PPP3R1
NP_671709.2	PPP3R2
NP_006238.1	PPP5C
NP_002712.1	PPP6C
NP_000301.1	PPT1
NP_002713.1	PPY
NP_005963.4	NPY4R
NP_001381791.1	PRB3
NP_002714.2	PRB4
NP_005964.3	PRCC
NP_005031.1	PRCP
NP_002716.1	PRELP
NP_002717.3	PREP
NP_001076585.1	PRF1
NP_002718.2	SRGN
NP_002719.3	PRG2
NP_001380918.1	PRH1
NP_001103683.1	PRH2
NP_000937.1	PRIM1
NP_000938.2	PRIM2
NP_006242.5	PRKAA1
NP_006243.2	PRKAA2
NP_006244.2	PRKAB1
NP_005390.1	PRKAB2
NP_002721.1	PRKACA
NP_891993.1	PRKACB
NP_002723.2	PRKACG
NP_006814.1	PKIA
NP_861460.1	PKIB
NP_002724.1	PRKAG1
NP_002725.1	PRKAR1A
NP_001158232.1	PRKAR1B
NP_004148.1	PRKAR2A
NP_002727.2	PRKAR2B
NP_002728.2	PRKCA
NP_002729.2	PRKCB
NP_006245.2	PRKCD
NP_005391.1	PRKCE
NP_002730.1	PRKCG
NP_006246.2	PRKCH
NP_002731.4	PRKCI
NP_002732.3	PKN1
NP_006247.1	PKN2
NP_002733.2	PRKD1
NP_006248.1	PRKCQ
NP_001276033.1	PRKCSH
NP_002735.3	PRKCZ
NP_008835.5	PRKDC
NP_006249.1	PRKG1
NP_006250.1	PRKG2
NP_002736.3	MAPK1
NP_002737.2	MAPK3
NP_002738.2	MAPK4
NP_002739.1	MAPK6
NP_002740.2	MAPK7
NP_001310258.1	MAPK8
NP_002742.3	MAPK11
NP_002743.3	MAPK9
NP_620448.1	MAPK10
NP_002745.1	MAPK13
NP_002746.1	MAP2K1
NP_109587.1	MAP2K2
NP_659731.1	MAP2K3
NP_660143.1	MAP2K5
NP_002749.2	MAP2K6
NP_660186.1	MAP2K7
NP_001129123.1	EIF2AK2
NP_006251.1	DNAJC3
NP_004696.2	THAP12
NP_005035.1	PRKX
NP_000939.1	PRL
NP_000940.1	PRLR
NP_002752.1	PRM1
NP_002753.2	PRM2
NP_000302.1	PRNP
NP_004149.1	PSPN
NP_000303.1	PROC
NP_057419.5	PRODH
NP_006252.4	PROP1
NP_000304.2	PROS1
NP_001257545.1	PROX1
NP_006253.2	PRPH
NP_002755.1	PRPS1
NP_002756.1	PRPS2
NP_002757.2	PRPSAP1
NP_002758.1	PRPSAP2
NP_001135867.1	PRRG1
NP_000942.1	PRRG2
NP_005597.3	LGMN
NP_002760.1	PRSS1
NP_002761.1	PRSS2
NP_002762.3	PRSS3
NP_624302.1	MASP1
NP_001870.3	MASP1
NP_005036.2	RELN
NP_005037.1	KLK7
NP_002763.3	TMPRSS15
NP_002764.1	PRSS8
NP_002765.1	KLK6
NP_002766.1	HTRA1
NP_665895.1	KLK10
NP_002768.3	PRTN3
NP_002769.1	PSAP
NP_002770.3	PSD
NP_000012.1	PSEN1
NP_000438.2	PSEN2
NP_001171754.1	PSG1
NP_112536.2	PSG2
NP_066296.2	PSG3
NP_002771.2	PSG4
NP_002772.3	PSG5
NP_001027020.1	PSG6
NP_002774.2	PSG7
NP_002775.3	PSG9
NP_002776.3	PSG11
NP_006733.1	PSKH1
NP_002777.1	PSMA1
NP_002778.1	PSMA2
NP_002779.1	PSMA3
NP_002780.1	PSMA4
NP_002781.2	PSMA5
NP_002782.1	PSMA6
NP_002783.1	PSMA7
NP_002784.1	PSMB1
NP_002785.1	PSMB2
NP_002786.2	PSMB3
NP_002787.2	PSMB4
NP_002788.1	PSMB5
NP_002789.1	PSMB6
NP_002790.1	PSMB7
NP_683720.2	PSMB8
NP_001380957.1	PYY
NP_002791.1	PSMB9
NP_002792.1	PSMB10
NP_002793.2	PSMC1
NP_002794.1	PSMC2
NP_002795.2	PSMC3
NP_006494.1	PSMC4
NP_002796.4	PSMC5
NP_002797.4	PSMC6
NP_002798.2	PSMD1
NP_002799.3	PSMD2
NP_002800.2	PSMD3
NP_002801.1	PSMD4
NP_005038.1	PSMD5
NP_002802.2	PSMD7
NP_002803.2	PSMD8
NP_002804.2	PSMD9
NP_002805.1	PSMD10
NP_002806.2	PSMD11
NP_002807.1	PSMD12
NP_002808.3	PSMD13
NP_006254.1	PSME1
