ensembl_gene_id,refseq_ids,uniprot_ids,gen_symbol,ensembl_prot_id,uniprot_ensembl_id,gene_age
ENSG00000126353,NP_001829.1,P32248,CCR7,ENSP00000246657.2,P32248,544
ENSG00000179934,NP_005192.1,P51685,CCR8,ENSP00000326432.4,P51685,18
ENSG00000144648,NP_001287.2,O00590,ACKR2,ENSP00000416996.1,O00590,544
ENSG00000174600,NP_001135815.1,Q99788,CMKLR1,ENSP00000449716.1,Q99788,544
ENSG00000213903,NP_001137391.1,Q15722,LTB4R,ENSP00000307445.3,Q15722,544
ENSG00000023839,NP_000383.2,Q92887,ABCC2,ENSP00000497274.1,Q92887,382
ENSG00000070729,NP_001288.3,Q14028,CNGB1,ENSP00000251102.8,Q14028,55
ENSG00000198515,NP_001366199.1,P29973,CNGA1,ENSP00000426862.3,P29973,987
ENSG00000183862,NP_005131.1,Q16280,CNGA2,ENSP00000328478.4,Q16280,680
ENSG00000144191,NP_001289.1,Q16281,CNGA3,ENSP00000272602.2,Q16281,886
ENSG00000132259,NP_001032406.1,Q8IV77,CNGA4,ENSP00000369268.2,Q8IV77,987
ENSG00000173846,NP_004064.2,Q9H4B4,PLK3,ENSP00000361275.4,Q9H4B4,645
ENSG00000130176,NP_001290.2,P51911,CNN1,ENSP00000252456.1,P51911,454
ENSG00000064666,NP_004359.1,Q99439,CNN2,ENSP00000263097.2,Q99439,382
ENSG00000117519,NP_001830.1,Q15417,CNN3,ENSP00000359225.4,Q15417,1488
ENSG00000173786,NP_149124.3,P09543,CNP,ENSP00000377470.2,P09543,645
ENSG00000118432,NP_057167.2,P21554,CNR1,ENSP00000358513.2,P21554,3
ENSG00000188822,NP_001832.1,P34972,CNR2,ENSP00000363596.4,P34972,454
ENSG00000242689,NP_000605.1,P26441,CNTF,ENSP00000355370.4,P26441,454
ENSG00000122756,NP_671693.1,P26992,CNTFR,ENSP00000368265.3,P26992,544
ENSG00000018236,NP_001834.2,Q12860,CNTN1,ENSP00000447006.1,Q12860,645
ENSG00000108821,NP_000079.2,P02452,COL1A1,ENSP00000225964.6,P02452,645
ENSG00000164692,NP_000080.2,P08123,COL1A2,ENSP00000297268.6,P08123,950
ENSG00000139219,NP_001835.3,P02458,COL2A1,ENSP00000369889.3,P02458,645
ENSG00000168542,NP_000081.2,P02461,COL3A1,ENSP00000304408.4,P02461,382
ENSG00000187498,NP_001836.3,P02462,COL4A1,ENSP00000364979.4,P02462,645
ENSG00000134871,NP_001837.2,P08572,COL4A2,ENSP00000353654.5,P08572,645
ENSG00000169031,NP_000082.2,Q01955,COL4A3,ENSP00000379823.3,Q01955,544
ENSG00000081052,NP_000083.3,P53420,COL4A4,ENSP00000379866.3,P53420,544
ENSG00000188153,NP_203699.1,P29400,COL4A5,ENSP00000331902.7,P29400,454
ENSG00000197565,NP_378667.1,Q14031,COL4A6,ENSP00000334733.7,Q14031,950
ENSG00000130635,NP_000084.3,P20908,COL5A1,ENSP00000360882.3,P20908,645
ENSG00000204262,NP_000384.2,P05997,COL5A2,ENSP00000364000.3,P05997,544
ENSG00000142156,NP_001839.2,P12109,COL6A1,ENSP00000355180.3,P12109,78
ENSG00000142173,NP_001840.3,P12110,COL6A2,ENSP00000300527.4,P12110,645
ENSG00000142173,NP_478054.2,P12110,COL6A2,ENSP00000380870.1,P12110,645
ENSG00000163359,NP_004360.2,P12111,COL6A3,ENSP00000295550.4,P12111,645
ENSG00000114270,NP_000085.1,Q02388,COL7A1,ENSP00000506558.1,Q02388,70
ENSG00000144810,NP_065084.2,P27658,COL8A1,ENSP00000498483.1,P27658,886
ENSG00000171812,NP_005193.1,P25067,COL8A2,ENSP00000380901.1,P25067,645
ENSG00000112280,NP_001842.3,P20849,COL9A1,ENSP00000349790.6,P20849,645
ENSG00000049089,NP_001843.1,Q14055,COL9A2,ENSP00000361834.3,Q14055,544
ENSG00000092758,NP_001844.3,Q14050,COL9A3,ENSP00000496793.1,Q14050,454
ENSG00000123500,NP_000484.2,Q03692,COL10A1,ENSP00000498802.1,Q03692,132
ENSG00000060718,NP_001845.3,P12107,COL11A1,ENSP00000359114.3,P12107,645
ENSG00000204248,NP_542411.2,A0A0C4DFS1,COL11A2,ENSP00000339915.2,A0A0C4DFS1,645
ENSG00000111799,NP_004361.3,Q99715,COL12A1,ENSP00000325146.8,Q99715,645
ENSG00000197467,NP_001355811.1,A0A2R8YGI3,COL13A1,ENSP00000496051.1,A0A2R8YGI3,454
ENSG00000204291,NP_001846.3,P39059,COL15A1,ENSP00000364140.3,P39059,886
ENSG00000084636,NP_001847.3,Q07092,COL16A1,ENSP00000362776.3,Q07092,544
ENSG00000065618,NP_000485.3,Q9UMD9,COL17A1,ENSP00000497653.1,Q9UMD9,424
ENSG00000082293,NP_001849.2,Q14993,COL19A1,ENSP00000480474.1,Q14993,886
ENSG00000105664,NP_000086.2,P49747,COMP,ENSP00000222271.2,P49747,332
ENSG00000093010,NP_000745.1,P21964,COMT,ENSP00000354511.6,P21964,680
ENSG00000122218,NP_004362.2,P53621,COPA,ENSP00000241704.7,P53621,4290
ENSG00000129083,NP_001137533.1,P53618,COPB1,ENSP00000397873.2,P53618,4290
ENSG00000067082,NP_001291.3,Q99612,KLF6,ENSP00000419923.1,Q99612,950
ENSG00000136868,NP_001850.1,O15431,SLC31A1,ENSP00000363329.4,O15431,680
ENSG00000136867,NP_001851.1,O15432,SLC31A2,ENSP00000259392.3,O15432,1488
ENSG00000241563,NP_001293.3,O00230,CORT,ENSP00000366248.4,O00230,3
ENSG00000107968,NP_005195.2,P41279,MAP3K8,ENSP00000263056.1,P41279,544
ENSG00000131143,NP_001852.1,P13073,COX4I1,ENSP00000253452.2,P13073,454
ENSG00000135940,NP_001853.2,P10606,COX5B,ENSP00000258424.2,P10606,645
ENSG00000111775,NP_004364.2,P12074,COX6A1,ENSP00000229379.2,P12074,680
ENSG00000156885,NP_005196.1,Q02221,COX6A2,ENSP00000287490.4,Q02221,168
ENSG00000126267,NP_001854.1,P14854,COX6B1,ENSP00000497926.1,P14854,382
ENSG00000164919,NP_004365.1,P09669,COX6C,ENSP00000428895.1,P09669,93
ENSG00000161281,NP_001855.1,P24310,COX7A1,ENSP00000292907.3,P24310,168
ENSG00000112695,NP_001353222.1,P14406,COX7A2,ENSP00000506727.1,P14406,645
ENSG00000131174,NP_001857.1,P24311,COX7B,ENSP00000497474.1,P24311,544
ENSG00000127184,NP_001858.1,P15954,COX7C,ENSP00000247655.3,P15954,645
ENSG00000176340,NP_004065.1,P10176,COX8A,ENSP00000321260.3,P10176,168
ENSG00000006695,NP_001294.2,Q12887,COX10,ENSP00000261643.3,Q12887,1714
ENSG00000166260,NP_004366.1,Q9Y6N1,COX11,ENSP00000299335.3,Q9Y6N1,645
ENSG00000014919,NP_510870.1,Q7KZN9,COX15,ENSP00000016171.6,Q7KZN9,1714
ENSG00000047457,NP_000087.2,P00450,CP,ENSP00000264613.6,P00450,645
ENSG00000091704,NP_001859.1,P15085,CPA1,ENSP00000011292.3,P15085,1292
ENSG00000158516,NP_001860.2,P48052,CPA2,ENSP00000222481.4,P48052,332
ENSG00000163751,NP_001861.2,P15088,CPA3,ENSP00000296046.3,P15088,382
ENSG00000153002,NP_001862.2,P15086,CPB1,ENSP00000282957.4,P15086,950
ENSG00000080618,NP_001863.3,Q96IY4,CPB2,ENSP00000181383.4,Q96IY4,987
ENSG00000108582,NP_001295.2,O75976,CPD,ENSP00000225719.4,O75976,544
ENSG00000109472,NP_001864.1,P16870,CPE,ENSP00000386104.4,P16870,680
ENSG00000189143,NP_001296.1,O14493,CLDN4,ENSP00000342445.2,O14493,544
ENSG00000165215,NP_001297.1,O15551,CLDN3,ENSP00000378577.2,O15551,645
ENSG00000181885,NP_001298.3,O95471,CLDN7,ENSP00000353475.7,O95471,680
ENSG00000135678,NP_938079.1,P14384,CPM,ENSP00000448517.1,P14384,645
ENSG00000120054,NP_001299.1,P15169,CPN1,ENSP00000359446.3,P15169,645
ENSG00000178772,NP_001073982.3,P22792,CPN2,ENSP00000319464.3,P22792,244
ENSG00000080819,NP_000088.3,P36551,CPOX,ENSP00000497326.1,P36551,645
ENSG00000021826,NP_001866.2,P31327,CPS1,ENSP00000233072.5,P31327,544
ENSG00000110090,NP_001867.2,P50416,CPT1A,ENSP00000265641.4,P50416,987
ENSG00000205560,NP_689452.1,Q92523,CPT1B,ENSP00000312189.8,Q92523,454
ENSG00000157184,NP_000089.1,P23786,CPT2,ENSP00000360541.3,P23786,987
ENSG00000203710,NP_000642.3,E9PDY4,CR1,ENSP00000356016.4,E9PDY4,382
ENSG00000197721,NP_783641.1,Q2VPA4,CR1L,ENSP00000421736.2,Q2VPA4,55
ENSG00000117322,NP_001006659.1,P20023,CR2,ENSP00000356024.3,P20023,987
ENSG00000166426,NP_004369.1,P29762,CRABP1,ENSP00000299529.6,P29762,950
ENSG00000143320,NP_001869.1,P29373,CRABP2,ENSP00000357205.3,P29373,950
ENSG00000095321,NP_000746.3,P43155,CRAT,ENSP00000315013.2,P43155,1292
ENSG00000118260,NP_004370.1,P16220,CREB1,ENSP00000236995.3,P16220,1292
ENSG00000115966,NP_001871.2,P15336,ATF2,ENSP00000264110.2,P15336,1292
ENSG00000005339,NP_004371.2,Q92793,CREBBP,ENSP00000262367.5,Q92793,987
ENSG00000213676,NP_004372.3,Q99941,ATF6B,ENSP00000364349.3,Q99941,950
ENSG00000111269,NP_001301.1,O60519,CREBL2,ENSP00000228865.2,O60519,645
ENSG00000095794,NP_898829.1,Q03060,CREM,ENSP00000509489.1,Q03060,1292
ENSG00000147571,NP_000747.1,P06850,CRH,ENSP00000276571.3,P06850,544
ENSG00000145708,NP_001873.2,P24387,CRHBP,ENSP00000274368.4,P24387,645
ENSG00000120088,NP_004373.2,P34998,CRHR1,ENSP00000326060.6,P34998,544
ENSG00000106113,NP_001874.2,Q13324,CRHR2,ENSP00000418722.1,Q13324,645
ENSG00000213145,NP_001302.1,P50238,CRIP1,ENSP00000376315.3,P50238,55
ENSG00000182809,NP_001303.1,P52943,CRIP2,ENSP00000328521.5,P52943,680
ENSG00000167193,NP_058431.2,P46108,CRK,ENSP00000300574.2,P46108,886
ENSG00000099942,NP_005198.1,P46109,CRKL,ENSP00000346300.3,P46109,886
ENSG00000072832,NP_001014809.1,Q14194,CRMP1,ENSP00000321606.7,Q14194,645
ENSG00000132693,NP_000558.2,P02741,CRP,ENSP00000255030.5,P02741,544
ENSG00000145681,NP_001875.1,P10915,HAPLN1,ENSP00000274341.4,P10915,544
ENSG00000105392,NP_000545.1,O43186,CRX,ENSP00000221996.5,O43186,645
ENSG00000008405,NP_004066.1,Q16526,CRY1,ENSP00000008527.5,Q16526,645
ENSG00000121671,NP_066940.3,Q49AN0,CRY2,ENSP00000484684.1,Q49AN0,544
ENSG00000160202,NP_000385.1,P02489,CRYAA,ENSP00000291554.2,P02489,886
ENSG00000109846,NP_001276737.1,P02511,CRYAB,ENSP00000499082.1,P02511,680
ENSG00000108255,NP_005199.2,P05813,CRYBA1,ENSP00000225387.3,P05813,544
ENSG00000163499,NP_476434.1,P53672,CRYBA2,ENSP00000295728.2,P53672,645
ENSG00000196431,NP_001877.1,P53673,CRYBA4,ENSP00000346805.3,P53673,454
ENSG00000100122,NP_001878.1,P53674,CRYBB1,ENSP00000497249.1,P53674,544
ENSG00000244752,NP_000487.1,P43320,CRYBB2,ENSP00000381273.2,P43320,544
ENSG00000100053,NP_004067.1,P26998,CRYBB3,ENSP00000215855.2,P26998,645
ENSG00000168582,NP_055432.2,P11844,CRYGA,ENSP00000302105.4,P11844,544
ENSG00000182187,NP_005201.2,P07316,CRYGB,ENSP00000260988.4,P07316,55
ENSG00000163254,NP_066269.1,P07315,CRYGC,ENSP00000282141.3,P07315,544
ENSG00000118231,NP_008822.2,P07320,CRYGD,ENSP00000264376.4,P07320,544
ENSG00000213139,NP_060011.1,P22914,CRYGS,ENSP00000312099.5,P22914,645
ENSG00000103316,NP_001363185.1,Q14894,CRYM,ENSP00000461904.2,Q14894,1488
ENSG00000116791,NP_001880.2,Q08257,CRYZ,ENSP00000339399.5,Q08257,1488
ENSG00000062485,NP_004068.2,O75390,CS,ENSP00000342056.3,O75390,4290
ENSG00000112062,NP_620581.1,Q16539,MAPK14,ENSP00000229794.4,Q16539,645
ENSG00000124207,NP_001307.2,P55060,CSE1L,ENSP00000262982.2,P55060,1714
ENSG00000184371,NP_000748.4,P09603,CSF1,ENSP00000327513.6,P09603,332
ENSG00000182578,NP_001275634.1,P07333,CSF1R,ENSP00000501699.1,P07333,645
ENSG00000164400,NP_000749.2,P04141,CSF2,ENSP00000296871.2,P04141,132
ENSG00000198223,NP_758448.1,P15509,CSF2RA,ENSP00000370940.3,P15509,382
ENSG00000100368,NP_000386.1,P32927,CSF2RB,ENSP00000384053.3,P32927,544
ENSG00000108342,NP_757373.1,P09919,CSF3,ENSP00000377705.4,P09919,454
ENSG00000119535,NP_000751.1,Q99062,CSF3R,ENSP00000362198.2,Q99062,454
ENSG00000136488,NP_001308.1,P0DML2,CSH1,ENSP00000316416.8,P0DML2,544
ENSG00000213218,NP_066271.1,P0DML3,CSH2,ENSP00000376623.2,P0DML3,544
ENSG00000204414,NP_072101.1,Q14406,CSHL1,ENSP00000309524.5,Q14406,544
ENSG00000103653,NP_004374.1,P41240,CSK,ENSP00000220003.9,P41240,645
ENSG00000126545,NP_001881.1,P47710,CSN1S1,ENSP00000246891.4,P47710,55
ENSG00000135222,NP_001882.1,P05814,CSN2,ENSP00000341030.3,P05814,168
ENSG00000171209,NP_001381926.1,P07498,CSN3,ENSP00000304822.3,P07498,168
ENSG00000113712,NP_001883.4,P48729,CSNK1A1,ENSP00000367074.2,P48729,987
ENSG00000141551,NP_001884.2,P48730,CSNK1D,ENSP00000324464.6,P48730,987
ENSG00000213923,NP_689407.1,P49674,CSNK1E,ENSP00000380044.1,P49674,987
ENSG00000133275,NP_001310.3,P78368,CSNK1G2,ENSP00000255641.7,P78368,680
ENSG00000151292,NP_001351069.1,A0A8V8TKT3,CSNK1G3,ENSP00000512966.1,A0A8V8TKT3,544
ENSG00000101266,NP_808227.1,P68400,CSNK2A1,ENSP00000217244.3,P68400,382
ENSG00000070770,NP_001887.1,P19784,CSNK2A2,ENSP00000262506.3,P19784,4290
ENSG00000204435,NP_001311.3,P67870,CSNK2B,ENSP00000365042.3,P67870,4290
ENSG00000038427,NP_004376.2,P13611,VCAN,ENSP00000265077.3,P13611,645
ENSG00000130287,NP_004377.2,O14594,NCAN,ENSP00000252575.4,O14594,645
ENSG00000173546,NP_001888.2,Q6UVK1,CSPG4,ENSP00000312506.5,Q6UVK1,645
ENSG00000159176,NP_004069.1,P21291,CSRP1,ENSP00000345079.2,P21291,645
ENSG00000175183,NP_001312.1,Q16527,CSRP2,ENSP00000310901.5,Q16527,645
ENSG00000183048,NP_036272.2,Q9UBX3,SLC25A10,ENSP00000345580.5,Q9UBX3,36
ENSG00000170373,NP_001889.2,P01037,CST1,ENSP00000305731.2,P01037,78
ENSG00000170369,NP_001313.1,P09228,CST2,ENSP00000307540.2,P09228,78
ENSG00000101439,NP_000090.1,P01034,CST3,ENSP00000366124.3,P01034,544
ENSG00000101441,NP_001890.1,P01036,CST4,ENSP00000217423.3,P01036,78
ENSG00000170367,NP_001891.2,P28325,CST5,ENSP00000307132.4,P28325,55
ENSG00000175315,NP_001314.1,Q15828,CST6,ENSP00000311313.2,Q15828,332
ENSG00000121552,NP_005204.1,P01040,CSTA,ENSP00000264474.3,P01040,382
ENSG00000160213,NP_000091.1,P04080,CSTB,ENSP00000291568.6,P04080,332
ENSG00000101138,NP_001315.1,Q05048,CSTF1,ENSP00000217109.4,Q05048,1064
ENSG00000101811,NP_001316.1,P33240,CSTF2,ENSP00000362063.2,P33240,645
ENSG00000176102,NP_001317.1,Q12996,CSTF3,ENSP00000315791.4,Q12996,1488
ENSG00000183072,NP_004378.1,P52952,NKX2-5,ENSP00000327758.4,P52952,810
ENSG00000184033,NP_001318.1,P78358,CTAG1B,ENSP00000332602.2,P78358,36
ENSG00000117151,NP_004379.1,Q01459,CTBS,ENSP00000359664.4,Q01459,950
ENSG00000159692,NP_001012632.1,Q13363,CTBP1,ENSP00000372411.3,Q13363,4290
ENSG00000175029,NP_073713.2,P56545,CTBP2,ENSP00000311825.6,P56545,4290
ENSG00000150281,NP_001321.1,Q16619,CTF1,ENSP00000279804.2,Q16619,454
ENSG00000118523,NP_001892.2,P29279,CCN2,ENSP00000356954.3,P29279,680
ENSG00000116761,NP_001893.2,P32929,CTH,ENSP00000359976.3,P32929,4290
ENSG00000163599,NP_005205.2,P16410,CTLA4,ENSP00000497102.1,P16410,544
ENSG00000044115,NP_001894.2,P35221,CTNNA1,ENSP00000304669.7,P35221,810
ENSG00000066032,NP_001269526.1,P26232,CTNNA2,ENSP00000384638.4,P26232,810
ENSG00000040531,NP_004928.2,O60931,CTNS,ENSP00000046640.4,O60931,1488
ENSG00000168036,NP_001895.1,P35222,CTNNB1,ENSP00000344456.5,P35222,680
ENSG00000198561,NP_001078927.1,O60716,CTNND1,ENSP00000382004.5,O60716,987
ENSG00000169862,NP_001323.1,Q9UQB3,CTNND2,ENSP00000307134.8,Q9UQB3,645
ENSG00000171793,NP_001896.2,P17812,CTPS1,ENSP00000497602.1,P17812,4290
ENSG00000168925,NP_001897.4,P17538,CTRB1,ENSP00000354294.4,P17538,680
ENSG00000141086,NP_001898.1,P40313,CTRL,ENSP00000458537.2,P40313,544
ENSG00000164733,NP_001899.1,P07858,CTSB,ENSP00000345672.5,P07858,1488
ENSG00000117984,NP_001900.1,P07339,CTSD,ENSP00000236671.2,P07339,1488
ENSG00000196188,NP_001901.1,P14091,CTSE,ENSP00000350911.2,P14091,454
ENSG00000100448,NP_001902.1,P08311,CTSG,ENSP00000216336.2,P08311,544
ENSG00000103811,NP_004381.2,P09668,CTSH,ENSP00000220166.6,P09668,1488
ENSG00000143387,NP_000387.1,P43235,CTSK,ENSP00000271651.3,P43235,454
ENSG00000135047,NP_001903.1,P07711,CTSL,ENSP00000345344.5,P07711,4290
ENSG00000136943,NP_001324.2,O60911,CTSV,ENSP00000259470.5,O60911,4290
ENSG00000256043,NP_001325.1,P43234,CTSO,ENSP00000414904.3,P43234,1488
ENSG00000163131,NP_004070.3,P25774,CTSS,ENSP00000357981.3,P25774,454
ENSG00000172543,NP_001326.3,P56202,CTSW,ENSP00000311300.3,P56202,680
ENSG00000101160,NP_001327.2,Q9UBR2,CTSZ,ENSP00000217131.5,Q9UBR2,4290
ENSG00000257923,NP_853530.2,P39880,CUX1,ENSP00000292535.7,P39880,645
ENSG00000257923,NP_001904.2,Q13948,CUX1,ENSP00000484760.2,Q13948,645
ENSG00000168329,NP_001328.1,P49238,CX3CR1,ENSP00000382166.3,P49238,454
ENSG00000154639,NP_001329.1,P78310,CXADR,ENSP00000284878.7,P78310,645
ENSG00000278057,NP_001577.1,O15482,TEX28,ENSP00000482010.1,O15482,244
ENSG00000166347,NP_683725.1,P00167,CYB5A,ENSP00000341625.4,P00167,454
ENSG00000008283,NP_001906.3,P49447,CYB561,ENSP00000354028.3,P49447,950
ENSG00000051523,NP_000092.2,P13498,CYBA,ENSP00000261623.3,P13498,1064
ENSG00000165168,NP_000388.2,P04839,CYBB,ENSP00000367851.4,P04839,645
ENSG00000179091,NP_001907.3,P08574,CYC1,ENSP00000317159.4,P08574,1714
ENSG00000183035,NP_066941.1,P35663,CYLC1,ENSP00000331556.4,P35663,168
ENSG00000155833,NP_001331.1,Q14093,CYLC2,ENSP00000420256.1,Q14093,168
ENSG00000083799,NP_001365672.1,Q9NQC7,CYLD,ENSP00000392025.3,Q9NQC7,680
ENSG00000140465,NP_001306146.1,P04798,CYP1A1,ENSP00000369050.3,P04798,680
ENSG00000140505,NP_000752.2,P05177,CYP1A2,ENSP00000342007.4,P05177,680
ENSG00000138061,NP_000095.2,Q16678,CYP1B1,ENSP00000478561.1,Q16678,680
ENSG00000255974,NP_000753.3,P11509,CYP2A6,ENSP00000301141.4,P11509,12
ENSG00000198077,NP_000755.2,P20853,CYP2A7,ENSP00000301146.4,P20853,12
ENSG00000160870,NP_000756.3,P24462,CYP3A7,ENSP00000337450.2,P24462,645
ENSG00000197838,NP_000757.2,Q16696,CYP2A13,ENSP00000332679.1,Q16696,382
ENSG00000197408,NP_000758.1,P20813,CYP2B6,ENSP00000324648.2,P20813,382
ENSG00000165841,NP_000760.1,P33261,CYP2C19,ENSP00000360372.3,P33261,78
ENSG00000138115,NP_000761.3,P10632,CYP2C8,ENSP00000360317.3,P10632,78
ENSG00000138109,NP_000762.2,P11712,CYP2C9,ENSP00000260682.6,P11712,78
ENSG00000108242,NP_000763.1,P33260,CYP2C18,ENSP00000285979.6,P33260,382
ENSG00000100197,NP_000097.3,P10635,CYP2D6,ENSP00000496150.1,P10635,544
ENSG00000130649,NP_000764.1,P05181,CYP2E1,ENSP00000252945.3,P05181,382
ENSG00000197446,NP_000765.2,P24903,CYP2F1,ENSP00000333534.2,P24903,382
ENSG00000134716,NP_000766.2,P51589,CYP2J2,ENSP00000360247.3,P51589,382
ENSG00000160868,NP_059488.2,P08684,CYP3A4,ENSP00000498939.1,P08684,645
ENSG00000106258,NP_000768.1,P20815,CYP3A5,ENSP00000222982.4,P20815,645
ENSG00000187048,NP_000769.2,Q02928,CYP4A11,ENSP00000311095.4,Q02928,78
ENSG00000142973,NP_001093242.1,P13584,CYP4B1,ENSP00000360991.4,P13584,424
ENSG00000167910,NP_000771.2,P22680,CYP7A1,ENSP00000301645.3,P22680,680
ENSG00000180432,NP_004382.2,Q9UNU6,CYP8B1,ENSP00000318867.4,Q9UNU6,645
ENSG00000140459,NP_000772.2,P05108,CYP11A1,ENSP00000268053.6,P05108,645
ENSG00000160882,NP_000488.3,P15538,CYP11B1,ENSP00000292427.5,P15538,86
ENSG00000179142,NP_000489.3,P19099,CYP11B2,ENSP00000325822.2,P19099,86
ENSG00000148795,NP_000093.1,P05093,CYP17A1,ENSP00000358903.3,P05093,645
ENSG00000137869,NP_000094.2,P11511,CYP19A1,ENSP00000379683.1,P11511,680
ENSG00000231852,NP_000491.4,Q16874,CYP21A2,ENSP00000496625.1,Q16874,244
ENSG00000019186,NP_000773.2,Q07973,CYP24A1,ENSP00000216862.3,Q07973,544
ENSG00000095596,NP_000774.2,O43174,CYP26A1,ENSP00000224356.4,O43174,680
ENSG00000135929,NP_000775.1,Q02318,CYP27A1,ENSP00000258415.4,Q02318,454
ENSG00000111012,NP_000776.1,O15528,CYP27B1,ENSP00000228606.4,O15528,544
ENSG00000001630,NP_000777.1,Q16850,CYP51A1,ENSP00000003100.8,Q16850,645
ENSG00000173406,NP_001352721.1,O75553,DAB1,ENSP00000360280.1,O75553,987
ENSG00000153071,NP_001334.2,P98082,DAB2,ENSP00000313391.6,P98082,987
ENSG00000276644,NP_542937.3,Q9UI36,DACH1,ENSP00000482245.1,Q9UI36,886
ENSG00000129562,NP_001335.1,P61803,DAD1,ENSP00000250498.4,P61803,1488
ENSG00000196352,NP_000565.1,P08174,CD55,ENSP00000356031.4,P08174,382
ENSG00000173402,NP_004384.5,Q14118,DAG1,ENSP00000312435.2,Q14118,987
ENSG00000065357,NP_001336.2,P23743,DGKA,ENSP00000328405.5,P23743,987
ENSG00000136267,NP_001337638.1,B5MBY2,DGKB,ENSP00000384909.1,B5MBY2,987
ENSG00000058866,NP_001337.2,P49619,DGKG,ENSP00000265022.3,P49619,987
ENSG00000145214,NP_001338.2,P52824,DGKQ,ENSP00000273814.3,P52824,1488
ENSG00000110887,NP_001908.3,P14920,DAO,ENSP00000228476.3,P14920,1488
ENSG00000112977,NP_004385.1,P51397,DAP,ENSP00000230895.7,P51397,55
ENSG00000196730,NP_004929.2,P53355,DAPK1,ENSP00000386135.3,P53355,886
ENSG00000167657,NP_001339.1,O43293,DAPK3,ENSP00000442973.1,O43293,454
ENSG00000115866,NP_001340.2,P14868,DARS1,ENSP00000264161.4,P14868,4290
ENSG00000204209,NP_001135441.1,Q9UER7,DAXX,ENSP00000363668.5,Q9UER7,987
ENSG00000188120,NP_004072.3,Q9NQZ3,DAZ1,ENSP00000384573.1,Q9NQZ3,8
ENSG00000092345,NP_001342.2,Q92904,DAZL,ENSP00000382373.3,Q92904,886
ENSG00000078725,NP_055433.2,O60477,BRINP1,ENSP00000265922.2,O60477,544
ENSG00000123454,NP_000778.3,P09172,DBH,ENSP00000376776.2,P09172,987
ENSG00000155368,NP_001073331.1,P07108,DBI,ENSP00000348116.3,P07108,1292
ENSG00000113758,NP_001350470.2,Q16643,DBN1,ENSP00000377195.1,Q16643,544
ENSG00000105516,NP_001343.2,Q10586,DBP,ENSP00000222122.4,Q10586,454
ENSG00000137992,NP_001909.4,P11182,DBT,ENSP00000359151.3,P11182,1714
ENSG00000187323,NP_005206.2,P43146,DCC,ENSP00000389140.2,P43146,544
ENSG00000167969,NP_001910.2,P42126,ECI1,ENSP00000301729.4,P42126,1064
ENSG00000156136,NP_000779.1,P27707,DCK,ENSP00000286648.5,P27707,454
ENSG00000011465,NP_001911.1,P07585,DCN,ENSP00000052754.5,P07585,645
ENSG00000129187,NP_001912.2,P32321,DCTD,ENSP00000398194.2,P32321,1292
ENSG00000159640,NP_000780.1,P12821,ACE,ENSP00000290866.4,P12821,168
ENSG00000080166,NP_001913.2,P40126,DCT,ENSP00000366227.4,P40126,810
ENSG00000204843,NP_004073.2,Q14203,DCTN1,ENSP00000487279.2,Q14203,1488
ENSG00000077279,NP_001182482.1,A8K340,DCX,ENSP00000490614.1,A8K340,382
ENSG00000167986,NP_001914.3,Q16531,DDB1,ENSP00000301764.7,Q16531,1488
ENSG00000134574,NP_000098.1,Q92466,DDB2,ENSP00000256996.4,Q92466,454
ENSG00000132437,NP_001076440.2,P20711,DDC,ENSP00000403644.2,P20711,1064
ENSG00000187134,NP_001344.2,Q04828,AKR1C1,ENSP00000370254.4,Q04828,36
ENSG00000151632,NP_001380321.1,P52895,AKR1C2,ENSP00000370129.4,P52895,25
ENSG00000116717,NP_001915.1,P24522,GADD45A,ENSP00000360025.4,P24522,645
ENSG00000175197,NP_004074.2,P35638,DDIT3,ENSP00000340671.3,P35638,454
ENSG00000244038,NP_005207.3,A0A0C4DGS1,DDOST,ENSP00000473655.2,A0A0C4DGS1,1488
ENSG00000099977,NP_001077861.1,P30046,DDT,ENSP00000381386.4,P30046,544
ENSG00000079785,NP_004930.1,Q92499,DDX1,ENSP00000233084.3,Q92499,4290
ENSG00000215301,NP_001347.3,O00571,DDX3X,ENSP00000494040.1,O00571,645
ENSG00000108654,NP_004387.1,P17844,DDX5,ENSP00000225792.5,P17844,645
ENSG00000110367,NP_004388.2,P26196,DDX6,ENSP00000442266.1,P26196,645
ENSG00000172869,NP_001277250.1,F5H269,DMXL1,ENSP00000439479.1,F5H269,1714
ENSG00000067596,NP_004932.1,Q14562,DHX8,ENSP00000262415.2,Q14562,4290
ENSG00000135829,NP_001348.2,Q08211,DHX9,ENSP00000356520.3,Q08211,950
ENSG00000178105,NP_004389.2,Q13206,DDX10,ENSP00000314348.3,Q13206,4290
ENSG00000013573,NP_085911.2,Q96FC9,DDX11,ENSP00000443426.1,Q96FC9,4290
ENSG00000109606,NP_001349.2,O43143,DHX15,ENSP00000336741.4,O43143,1292
ENSG00000104325,NP_001350.1,Q16698,DECR1,ENSP00000220764.2,Q16698,645
ENSG00000206047,NP_004075.1,P59665,DEFA1,ENSP00000372139.2,P59665,93
ENSG00000239839,NP_005208.1,P59666,DEFA3,ENSP00000328359.2,P59666,93
ENSG00000164821,NP_001916.1,P12838,DEFA4,ENSP00000297435.2,P12838,93
