refseq_ids	Ensembl_Gene_ID
NP_009055.2	ENSG00000152818
NP_065069.1	ENSG00000170471
NP_061951.1	ENSG00000288705
NP_000944.1	ENSG00000168229
NP_006624.3	ENSG00000145703
NP_056083.3	ENSG00000138246
NP_002931.2	ENSG00000164163
NP_001019978.1	ENSG00000105290
NP_006477.3	ENSG00000077942
NP_620143.1	ENSG00000151715
NP_001135815.1	ENSG00000174600
NP_006247.1	ENSG00000065243
NP_001371672.1	ENSG00000174945
NP_060736.1	ENSG00000176142
NP_003701.1	ENSG00000166145
NP_060896.1	ENSG00000137216
NP_689588.2	ENSG00000179023
NP_001008723.1	ENSG00000120051
NP_001010904.1	ENSG00000203972
NP_005643.2	ENSG00000132604
NP_001243718.1	ENSG00000102001
NP_443131.2	ENSG00000169258
NP_733751.2	ENSG00000055609
NP_001723.2	ENSG00000124557
NP_112580.3	ENSG00000123171
NP_056100.2	ENSG00000091157
NP_694453.2	ENSG00000155636
NP_004276.2	ENSG00000049239
NP_003167.2	ENSG00000198765
NP_001352237.1	ENSG00000164619
NP_001365383.1	ENSG00000116127
NP_940891.1	ENSG00000186166
NP_542411.2	ENSG00000204248
NP_006280.3	ENSG00000137076
NP_065928.2	ENSG00000183914
NP_059113.1	ENSG00000130035
NP_659492.1	ENSG00000152242
NP_067037.1	ENSG00000136379
NP_006053.2	ENSG00000135632
NP_778227.3	ENSG00000237110
NP_075559.2	ENSG00000123352
NP_001073324.1	ENSG00000056998
NP_849188.4	ENSG00000183638
NP_775745.1	ENSG00000157045
NP_001280012.1	ENSG00000249715
NP_061917.3	ENSG00000125633
NP_001020787.2	ENSG00000138639
NP_057419.5	ENSG00000100033
NP_776089.2	ENSG00000198844
NP_004061.3	ENSG00000186510
NP_001380461.1	ENSG00000170948
NP_775816.1	ENSG00000169621
NP_001362496.1	ENSG00000188352
NP_775899.3	ENSG00000187775
NP_055921.2	ENSG00000164080
NP_115997.5	ENSG00000133454
NP_001317569.1	ENSG00000137145
NP_006621.1	ENSG00000263002
NP_008931.1	ENSG00000105668
NP_001121677.1	ENSG00000137573
NP_003961.3	ENSG00000036448
NP_116274.3	ENSG00000130734
NP_002007.1	ENSG00000143631
NP_004204.3	ENSG00000156222
NP_940933.3	ENSG00000166377
NP_001158137.1	ENSG00000122778
NP_001380648.1	ENSG00000166669
NP_006407.1	ENSG00000164414
NP_005090.3	ENSG00000158859
NP_000231.1	ENSG00000189221
NP_783200.1	ENSG00000144619
NP_002103.2	ENSG00000140287
NP_001153620.1	ENSG00000100523
NP_057594.5	ENSG00000132330
NP_002206.2	ENSG00000055957
NP_002194.2	ENSG00000164171
NP_003468.2	ENSG00000110435
NP_001369425.1	ENSG00000165131
NP_115971.2	ENSG00000170832
NP_061831.2	ENSG00000185823
NP_001244896.2	ENSG00000180347
NP_597707.1	ENSG00000168096
NP_037399.2	ENSG00000135423
NP_065682.2	ENSG00000171680
NP_001361.1	ENSG00000115423
NP_060205.3	ENSG00000018699
NP_001352205.1	ENSG00000168477
NP_002579.2	ENSG00000240184
NP_604393.2	ENSG00000160505
NP_066921.2	ENSG00000196557
NP_000728.1	ENSG00000104827
NP_001005480.2	ENSG00000221989
NP_149112.1	ENSG00000076513
NP_065802.1	ENSG00000133103
NP_115495.3	ENSG00000164199
NP_001129978.2	ENSG00000197658
NP_055310.1	ENSG00000132855
NP_006083.1	ENSG00000106100
NP_001363.2	ENSG00000007174
NP_710142.1	ENSG00000006611
NP_001291295.1	ENSG00000187033
NP_060899.2	ENSG00000145734
NP_031361.2	ENSG00000008226
NP_001381001.1	ENSG00000149043
NP_115521.3	ENSG00000118496
NP_001181927.1	ENSG00000103995
NP_689825.2	ENSG00000161180
NP_940927.2	ENSG00000166813
NP_001093866.1	ENSG00000177994
NP_036416.1	ENSG00000135519
NP_001002800.1	ENSG00000113810
NP_001366429.1	ENSG00000182871
NP_001157683.2	ENSG00000136141
NP_005179.2	ENSG00000110395
NP_065821.1	ENSG00000143375
NP_001664.3	ENSG00000070669
NP_065910.3	ENSG00000138771
NP_112145.1	ENSG00000204688
NP_001532.1	ENSG00000170276
NP_005451.2	ENSG00000064692
NP_001275701.1	ENSG00000139144
NP_004808.2	ENSG00000119139
NP_001706.2	ENSG00000136573
NP_079133.3	ENSG00000176208
NP_059133.1	ENSG00000165934
NP_001045.2	ENSG00000197165
NP_005458.1	ENSG00000077616
NP_112198.1	ENSG00000105982
NP_892027.2	ENSG00000125388
NP_078872.3	ENSG00000147316
NP_001005167.1	ENSG00000205409
NP_005099.2	ENSG00000093217
NP_689594.4	ENSG00000163092
NP_942122.2	ENSG00000111452
NP_079030.3	ENSG00000049883
NP_056323.2	ENSG00000163659
NP_078913.3	ENSG00000197093
NP_001120.3	ENSG00000106624
NP_689763.4	ENSG00000156463
NP_001338590.1	ENSG00000172264
NP_036425.1	ENSG00000130508
NP_057407.2	ENSG00000138646
NP_077283.2	ENSG00000102886
NP_060119.3	ENSG00000148842
NP_004453.3	ENSG00000079459
NP_001437.1	ENSG00000164434
NP_001073860.1	ENSG00000067066
NP_849143.1	ENSG00000123977
NP_001004460.1	ENSG00000170790
NP_919436.1	ENSG00000001631
NP_001345220.1	ENSG00000178966
NP_055601.2	ENSG00000110237
NP_001073901.1	ENSG00000140718
NP_002999.1	ENSG00000124157
NP_001004491.2	ENSG00000187080
NP_001263206.1	ENSG00000145725
NP_001243000.2	ENSG00000173821
NP_870998.2	ENSG00000105227
NP_085135.1	ENSG00000141431
NP_694941.2	ENSG00000196169
NP_115544.1	ENSG00000115368
NP_940871.2	ENSG00000185681
NP_003142.1	ENSG00000138378
NP_060152.2	ENSG00000039987
NP_001034201.2	ENSG00000214814
NP_004973.1	ENSG00000121361
NP_055079.3	ENSG00000142731
NP_077719.2	ENSG00000134250
NP_001092741.1	ENSG00000152359
NP_004130.2	ENSG00000129988
NP_001025055.1	ENSG00000120278
NP_690902.1	ENSG00000214078
NP_001720.1	ENSG00000174808
NP_113602.2	ENSG00000196335
NP_002936.1	ENSG00000132383
NP_001035047.1	ENSG00000188095
NP_065853.3	ENSG00000110318
NP_001129490.1	ENSG00000143819
NP_006221.3	ENSG00000106628
NP_000952.1	ENSG00000124212
NP_068593.2	ENSG00000061794
NP_064512.1	ENSG00000143367
NP_060888.2	ENSG00000042317
NP_689945.2	ENSG00000172426
NP_115829.1	ENSG00000189164
NP_443174.1	ENSG00000154451
NP_036501.2	ENSG00000213215
NP_071327.2	ENSG00000128228
NP_127492.1	ENSG00000263001
NP_001193856.1	ENSG00000124721
NP_000913.2	ENSG00000152270
NP_001363790.1	ENSG00000151418
NP_057427.3	ENSG00000117724
NP_003710.1	ENSG00000113231
NP_689718.1	ENSG00000157578
NP_057711.3	ENSG00000196704
NP_002010.2	ENSG00000102755
NP_005968.1	ENSG00000127870
NP_061834.1	ENSG00000160185
NP_001362513.1	ENSG00000116698
NP_006258.3	ENSG00000153201
NP_001011713.2	ENSG00000139977
NP_000973.2	ENSG00000122026
NP_057285.3	ENSG00000114019
NP_009224.2	ENSG00000244731
NP_848653.2	ENSG00000173041
NP_003717.3	ENSG00000141293
NP_001362763.1	ENSG00000115935
NP_000684.2	ENSG00000184254
NP_699194.2	ENSG00000197123
NP_203526.1	ENSG00000128626
NP_000599.1	ENSG00000228278
NP_115820.2	ENSG00000188827
NP_055871.1	ENSG00000160208
NP_055445.2	ENSG00000166716
NP_258441.1	ENSG00000112146
NP_037397.2	ENSG00000149823
NP_001167541.1	ENSG00000174137
NP_689911.2	ENSG00000178171
NP_001167567.1	ENSG00000148516
NP_001003693.1	ENSG00000204424
NP_001035275.1	ENSG00000196417
NP_005567.2	ENSG00000129038
NP_002996.2	ENSG00000174175
NP_003728.1	ENSG00000166341
NP_006647.3	ENSG00000162139
NP_653306.1	ENSG00000163060
NP_061762.2	ENSG00000113211
NP_055683.3	ENSG00000022840
NP_940967.1	ENSG00000174004
NP_015628.2	ENSG00000104321
NP_001258.2	ENSG00000136457
NP_060877.4	ENSG00000104341
NP_004323.2	ENSG00000137274
NP_940978.2	ENSG00000188157
NP_004376.2	ENSG00000038427
NP_008970.2	ENSG00000070778
NP_001128206.1	ENSG00000142698
NP_000905.3	ENSG00000112038
NP_056975.1	ENSG00000168438
NP_057323.3	ENSG00000091536
NP_005935.4	ENSG00000091972
NP_060069.3	ENSG00000028203
NP_113668.2	ENSG00000124784
NP_079501.2	ENSG00000100344
NP_060090.2	ENSG00000129351
NP_001013860.1	ENSG00000159753
NP_001070914.1	ENSG00000170892
NP_997229.2	ENSG00000182173
NP_789793.1	ENSG00000184330
NP_002548.3	ENSG00000085465
NP_001365707.1	ENSG00000107186
NP_001339115.1	ENSG00000185046
NP_005553.2	ENSG00000058085
NP_001035706.2	ENSG00000140471
NP_689963.2	ENSG00000128536
NP_001158136.1	ENSG00000069020
NP_055486.2	ENSG00000009335
NP_060179.2	ENSG00000183508
NP_065753.2	ENSG00000164976
NP_061729.1	ENSG00000255408
NP_065075.1	ENSG00000196950
NP_001026879.2	ENSG00000184719
NP_005086.2	ENSG00000146463
NP_001104777.1	ENSG00000065989
NP_066953.1	ENSG00000196262
NP_002462.2	ENSG00000197616
NP_659410.3	ENSG00000170456
NP_001242907.1	ENSG00000143578
NP_004516.2	ENSG00000081479
NP_001970.2	ENSG00000120915
NP_057443.2	ENSG00000137804
NP_057480.2	ENSG00000137770
NP_000689.1	ENSG00000012779
NP_006608.1	ENSG00000132688
NP_001171754.1	ENSG00000231924
NP_005779.1	ENSG00000185238
NP_001365538.2	ENSG00000165899
NP_001077430.1	ENSG00000075702
NP_001358462.1	ENSG00000033170
NP_001335048.1	ENSG00000221926
NP_775886.3	ENSG00000175267
NP_001364963.1	ENSG00000109762
NP_065713.1	ENSG00000124532
NP_001375421.1	ENSG00000197386
NP_001305861.1	ENSG00000179813
NP_037505.1	ENSG00000099904
NP_056327.4	ENSG00000114841
NP_067637.2	ENSG00000134489
NP_001382088.1	ENSG00000133958
NP_003480.2	ENSG00000180530
NP_443135.3	ENSG00000275835
NP_000006.2	ENSG00000156006
NP_036388.2	ENSG00000170260
NP_001036010.1	ENSG00000090006
NP_062823.1	ENSG00000130876
NP_061728.1	ENSG00000204969
NP_056651.1	ENSG00000116874
NP_057652.1	ENSG00000182631
NP_077006.1	ENSG00000115648
NP_001372962.1	ENSG00000196832
NP_699200.2	ENSG00000173214
NP_003374.3	ENSG00000147852
NP_006291.2	ENSG00000159882
NP_863651.1	ENSG00000120868
NP_998783.1	ENSG00000166444
NP_006290.1	ENSG00000137185
NP_005751.2	ENSG00000115816
NP_001265238.2	ENSG00000111254
NP_775777.3	ENSG00000273111
NP_001136254.1	ENSG00000081026
NP_775184.1	ENSG00000136697
NP_848594.2	ENSG00000183273
NP_079223.3	ENSG00000173889
NP_003954.2	ENSG00000142484
NP_001008404.1	ENSG00000184601
NP_001094782.1	ENSG00000106565
NP_036330.1	ENSG00000115271
NP_000835.1	ENSG00000196277
NP_001073936.1	ENSG00000167306
NP_064541.1	ENSG00000106392
NP_079076.3	ENSG00000114670
NP_001098099.1	ENSG00000154274
NP_001230854.1	ENSG00000114738
NP_001382865.1	ENSG00000196071
NP_997224.2	ENSG00000149506
NP_001455.3	ENSG00000104755
NP_006199.2	ENSG00000197594
NP_438169.2	ENSG00000139597
NP_055455.3	ENSG00000135912
NP_950245.2	ENSG00000117481
NP_056465.2	ENSG00000204104
NP_005732.2	ENSG00000006194
NP_002053.3	ENSG00000112164
NP_570899.1	ENSG00000166025
NP_003254.2	ENSG00000174125
NP_057333.1	ENSG00000046774
NP_001004747.2	ENSG00000172489
NP_000495.1	ENSG00000126218
NP_000895.2	ENSG00000124588
NP_071322.2	ENSG00000107829
NP_001034680.2	ENSG00000124486
NP_001968.3	ENSG00000138792
NP_056128.1	ENSG00000196914
NP_001098714.1	ENSG00000173482
NP_005783.2	ENSG00000135698
NP_005146.4	ENSG00000221988
NP_001352717.1	ENSG00000205669
NP_055676.3	ENSG00000064270
NP_056056.2	ENSG00000243156
NP_004345.1	ENSG00000138764
NP_114144.5	ENSG00000197580
NP_787954.1	ENSG00000137857
NP_803875.2	ENSG00000205038
NP_085116.2	ENSG00000198939
NP_000838.3	ENSG00000174156
NP_001095939.1	ENSG00000204020
NP_079033.4	ENSG00000181090
NP_996744.4	ENSG00000138162
NP_001276009.1	ENSG00000134115
NP_003424.3	ENSG00000131849
NP_001036083.1	ENSG00000129484
NP_005299.1	ENSG00000198873
NP_001121687.1	ENSG00000173239
NP_116021.2	ENSG00000090060
NP_001004478.1	ENSG00000198967
NP_061176.4	ENSG00000181192
NP_065073.3	ENSG00000112379
NP_114097.2	ENSG00000101542
NP_065908.1	ENSG00000104142
NP_478072.1	ENSG00000007376
NP_002559.2	ENSG00000070756
NP_060356.2	ENSG00000168038
NP_006725.3	ENSG00000010818
NP_001155971.1	ENSG00000144712
NP_001381325.1	ENSG00000147689
NP_001357404.1	ENSG00000206072
NP_079216.4	ENSG00000147459
NP_919227.2	ENSG00000173250
NP_001135823.1	ENSG00000144057
NP_002652.2	ENSG00000197943
NP_004311.1	ENSG00000196296
NP_079350.5	ENSG00000138759
NP_525126.2	ENSG00000166527
NP_064593.1	ENSG00000163817
NP_997186.1	ENSG00000107518
NP_758952.4	ENSG00000151062
NP_690852.1	ENSG00000161036
NP_005916.2	ENSG00000141434
NP_003658.1	ENSG00000139292
NP_055730.2	ENSG00000107890
NP_001293009.1	ENSG00000136153
NP_066015.2	ENSG00000152223
NP_006305.2	ENSG00000142675
NP_001308910.1	ENSG00000183647
NP_056349.1	ENSG00000036549
NP_077720.1	ENSG00000163273
NP_001192.4	ENSG00000152785
NP_002290.2	ENSG00000115850
NP_689522.2	ENSG00000155629
NP_653320.3	ENSG00000244607
NP_001095838.1	ENSG00000133943
NP_689683.2	ENSG00000141622
NP_079280.2	ENSG00000149548
NP_038479.1	ENSG00000138119
NP_001009894.2	ENSG00000133641
NP_004075.1	ENSG00000206047
NP_002566.1	ENSG00000197632
NP_000789.1	ENSG00000169676
NP_002005.1	ENSG00000004478
NP_002465.1	ENSG00000133392
NP_689761.2	ENSG00000153347
NP_001359035.1	ENSG00000197653
NP_055973.2	ENSG00000107104
NP_689579.3	ENSG00000162755
NP_059125.2	ENSG00000135697
NP_073602.3	ENSG00000135596
NP_004088.2	ENSG00000135638
NP_892022.2	ENSG00000112992
NP_004054.3	ENSG00000079112
NP_001317606.1	ENSG00000092607
NP_001380991.1	ENSG00000127603
NP_078947.3	ENSG00000169957
NP_689408.1	ENSG00000054967
NP_115896.1	ENSG00000137338
NP_001317217.1	ENSG00000139613
NP_878918.2	ENSG00000054654
NP_003105.2	ENSG00000104450
NP_775864.3	ENSG00000139044
NP_001004724.1	ENSG00000184394
NP_115824.1	ENSG00000112584
NP_079285.2	ENSG00000174799
NP_002885.1	ENSG00000101773
NP_001106177.1	ENSG00000006747
NP_001618.2	ENSG00000170017
NP_004049.3	ENSG00000105519
NP_006287.2	ENSG00000028116
NP_997352.1	ENSG00000186458
NP_783318.1	ENSG00000182223
NP_598000.2	ENSG00000156535
NP_036541.2	ENSG00000171864
NP_006464.1	ENSG00000162227
NP_653271.3	ENSG00000166535
NP_056208.2	ENSG00000169116
NP_775829.2	ENSG00000146192
NP_689494.3	ENSG00000120370
NP_037416.1	ENSG00000122678
NP_001810.2	ENSG00000089199
NP_000192.2	ENSG00000090339
NP_068752.2	ENSG00000116691
NP_872338.1	ENSG00000143001
NP_060624.1	ENSG00000105011
NP_001366588.1	ENSG00000115568
NP_665875.1	ENSG00000122359
NP_998763.2	ENSG00000178229
NP_060485.4	ENSG00000147231
NP_000780.1	ENSG00000159640
NP_000050.3	ENSG00000139618
NP_006657.1	ENSG00000183207
NP_001623.3	ENSG00000163283
NP_060208.2	ENSG00000044459
NP_001004707.1	ENSG00000255713
NP_064592.3	ENSG00000182150
NP_689759.2	ENSG00000151304
NP_659416.1	ENSG00000151962
NP_060379.2	ENSG00000155906
NP_001275914.1	ENSG00000141338
NP_001186728.1	ENSG00000145103
NP_597701.1	ENSG00000167625
NP_444280.3	ENSG00000143740
NP_001073913.1	ENSG00000183067
NP_056503.1	ENSG00000047662
NP_872438.2	ENSG00000164363
NP_938016.1	ENSG00000160588
NP_001018121.1	ENSG00000128567
NP_066283.1	ENSG00000100614
NP_473448.1	ENSG00000197233
NP_005550.2	ENSG00000101680
NP_620688.2	ENSG00000140470
NP_001136028.1	ENSG00000072571
NP_004338.3	ENSG00000137757
NP_060272.3	ENSG00000164818
NP_036245.1	ENSG00000118298
NP_065766.1	ENSG00000054690
NP_112571.2	ENSG00000143297
NP_114412.2	ENSG00000107551
NP_115597.3	ENSG00000124177
NP_056428.1	ENSG00000148602
NP_009168.4	ENSG00000079263
NP_078865.1	ENSG00000067836
NP_005573.2	ENSG00000134061
NP_004923.1	ENSG00000113361
NP_112175.2	ENSG00000143434
NP_065178.1	ENSG00000133627
NP_060545.3	ENSG00000160746
NP_775901.3	ENSG00000176225
NP_001258975.1	ENSG00000165816
NP_005572.2	ENSG00000187244
NP_114141.2	ENSG00000143341
NP_001004727.1	ENSG00000172208
NP_001025040.1	ENSG00000173261
NP_001002035.1	ENSG00000184276
NP_056348.2	ENSG00000149476
NP_443104.1	ENSG00000112116
NP_001350723.1	ENSG00000196503
NP_001345459.1	ENSG00000124615
NP_689542.2	ENSG00000165501
NP_006606.1	ENSG00000135773
NP_653203.1	ENSG00000166152
NP_055416.2	ENSG00000024422
NP_056219.3	ENSG00000095397
NP_001359010.1	ENSG00000249481
NP_001193570.2	ENSG00000168275
NP_115710.2	ENSG00000147679
NP_006437.3	ENSG00000134538
NP_006260.1	ENSG00000104237
NP_001004703.1	ENSG00000185926
NP_612564.1	ENSG00000136869
NP_065829.4	ENSG00000136383
NP_588608.1	ENSG00000170915
NP_064568.3	ENSG00000029153
NP_543016.1	ENSG00000101230
NP_000853.1	ENSG00000203857
NP_005566.2	ENSG00000113441
NP_001362564.1	ENSG00000158985
NP_115640.1	ENSG00000142794
NP_114129.1	ENSG00000165632
NP_061172.1	ENSG00000185736
NP_003827.4	ENSG00000185559
NP_835224.3	ENSG00000187231
NP_006337.2	ENSG00000083535
NP_006244.2	ENSG00000111725
NP_001137157.1	ENSG00000159398
NP_061985.2	ENSG00000064687
NP_001171714.1	ENSG00000148498
NP_009094.3	ENSG00000132874
NP_037381.2	ENSG00000149050
NP_001123917.1	ENSG00000138434
NP_937816.1	ENSG00000158055
NP_004937.1	ENSG00000134516
NP_001129973.1	ENSG00000223547
NP_001844.3	ENSG00000092758
NP_115716.1	ENSG00000137288
NP_115679.2	ENSG00000119471
NP_056046.2	ENSG00000030066
NP_001098676.2	ENSG00000112769
NP_036400.2	ENSG00000105223
NP_001070736.1	ENSG00000166140
NP_001369437.1	ENSG00000113360
NP_000529.1	ENSG00000133111
NP_775904.2	ENSG00000167619
NP_937793.1	ENSG00000164291
NP_055318.2	ENSG00000120800
NP_056023.3	ENSG00000101745
NP_003191.1	ENSG00000071564
NP_006753.1	ENSG00000162511
NP_001311347.1	ENSG00000008277
NP_055484.3	ENSG00000102900
NP_002501.1	ENSG00000136235
NP_001053.2	ENSG00000134827
NP_002537.3	ENSG00000164761
NP_945345.2	ENSG00000166948
NP_004987.2	ENSG00000103222
NP_001767.3	ENSG00000138185
NP_001073973.3	ENSG00000177483
NP_001073987.1	ENSG00000204021
NP_009038.1	ENSG00000114850
NP_004804.2	ENSG00000121680
NP_219484.1	ENSG00000136718
NP_001043.2	ENSG00000132671
NP_001273374.1	ENSG00000111913
NP_037451.1	ENSG00000120942
NP_835260.2	ENSG00000133401
NP_060445.3	ENSG00000174442
NP_689966.2	ENSG00000146197
NP_008976.1	ENSG00000213066
NP_001012777.1	ENSG00000174177
NP_005040.2	ENSG00000241945
NP_055080.2	ENSG00000042980
NP_002898.2	ENSG00000004700
NP_057300.2	ENSG00000138231
NP_001031.2	ENSG00000129214
NP_003957.2	ENSG00000112902
NP_078854.1	ENSG00000099330
NP_004926.1	ENSG00000164885
NP_001612.1	ENSG00000106546
NP_002582.3	ENSG00000124253
NP_005838.3	ENSG00000170482
NP_001013269.1	ENSG00000168003
NP_473455.2	ENSG00000164691
NP_036257.1	ENSG00000184984
NP_002606.3	ENSG00000132386
NP_510968.2	ENSG00000123643
NP_076942.1	ENSG00000127423
NP_036364.2	ENSG00000177469
NP_060533.2	ENSG00000119969
NP_079152.3	ENSG00000123815
NP_001265558.1	ENSG00000157653
NP_620590.2	ENSG00000181085
NP_001243474.1	ENSG00000145794
NP_055129.2	ENSG00000107201
NP_002201.2	ENSG00000138448
NP_065107.1	ENSG00000047621
NP_001017403.1	ENSG00000133067
NP_067056.2	ENSG00000137976
NP_003631.2	ENSG00000070061
NP_001366010.1	ENSG00000164946
NP_660337.3	ENSG00000161996
NP_001254.2	ENSG00000163624
NP_001911.1	ENSG00000011465
NP_620135.1	ENSG00000147041
NP_000346.2	ENSG00000185339
NP_056161.2	ENSG00000072121
NP_001307466.1	ENSG00000160190
NP_002514.1	ENSG00000106236
NP_054737.1	ENSG00000147586
NP_115587.6	ENSG00000138131
NP_005657.1	ENSG00000080910
NP_001263272.2	ENSG00000188234
NP_112197.1	ENSG00000166925
NP_003863.2	ENSG00000118257
NP_037483.1	ENSG00000073861
NP_112190.2	ENSG00000167513
NP_056485.2	ENSG00000161956
NP_057305.1	ENSG00000132912
NP_067078.1	ENSG00000139946
NP_060020.1	ENSG00000105556
NP_001357214.1	ENSG00000127311
NP_001004713.1	ENSG00000094661
NP_001364204.1	ENSG00000049246
NP_689681.2	ENSG00000167895
NP_001034302.2	ENSG00000213892
NP_116172.2	ENSG00000145439
NP_001004696.2	ENSG00000196944
NP_000946.2	ENSG00000160951
NP_002146.2	ENSG00000173110
NP_001092141.1	ENSG00000068831
NP_002572.2	ENSG00000182752
NP_001711.2	ENSG00000116985
NP_115910.1	ENSG00000124171
NP_073563.1	ENSG00000118402
NP_079335.2	ENSG00000120262
NP_996532.2	ENSG00000204655
NP_660334.3	ENSG00000168826
NP_003456.1	ENSG00000133063
NP_001004339.2	ENSG00000203995
NP_001295248.1	ENSG00000177200
NP_036556.2	ENSG00000136643
NP_006165.1	ENSG00000164129
NP_001276880.1	ENSG00000160336
NP_004614.3	ENSG00000243725
NP_001095118.1	ENSG00000015520
NP_078904.4	ENSG00000221955
NP_001131.3	ENSG00000161905
NP_056331.2	ENSG00000182704
NP_068804.1	ENSG00000131910
NP_004040.1	ENSG00000140379
NP_060495.2	ENSG00000076650
NP_689728.3	ENSG00000169607
NP_940971.2	ENSG00000112414
NP_478144.1	ENSG00000119698
NP_004524.3	ENSG00000086967
NP_002600.1	ENSG00000113721
NP_060725.1	ENSG00000134759
NP_001369436.1	ENSG00000125375
NP_065164.2	ENSG00000165548
NP_006178.2	ENSG00000111331
NP_004564.2	ENSG00000137841
NP_001373743.1	ENSG00000183773
NP_001519.1	ENSG00000109758
NP_078970.3	ENSG00000118492
NP_079515.2	ENSG00000197646
NP_002377.4	ENSG00000258839
NP_055771.4	ENSG00000110274
NP_001122312.1	ENSG00000157388
NP_001096078.1	ENSG00000206384
NP_055290.1	ENSG00000104808
NP_005237.2	ENSG00000151422
NP_001129465.1	ENSG00000168234
NP_056019.1	ENSG00000005108
NP_001489.1	ENSG00000001084
NP_055456.2	ENSG00000137337
NP_057200.1	ENSG00000005981
NP_056089.1	ENSG00000013288
NP_006496.4	ENSG00000073008
NP_001354427.1	ENSG00000155052
NP_150594.2	ENSG00000110171
NP_001306962.1	ENSG00000144671
NP_001382442.1	ENSG00000178297
NP_002682.2	ENSG00000062822
NP_056153.2	ENSG00000171456
NP_071919.2	ENSG00000072415
NP_001123488.1	ENSG00000156219
NP_054722.2	ENSG00000140829
NP_001099051.1	ENSG00000206422
NP_055856.1	ENSG00000103351
NP_065186.3	ENSG00000145246
NP_001129518.1	ENSG00000141497
NP_001369276.1	ENSG00000197535
NP_002477.1	ENSG00000136937
NP_689940.3	ENSG00000140848
NP_006065.2	ENSG00000132274
NP_037407.4	ENSG00000167522
NP_006314.2	ENSG00000138802
NP_056060.2	ENSG00000064999
NP_079496.1	ENSG00000149451
NP_057603.1	ENSG00000178522
NP_005093.2	ENSG00000171055
NP_004291.1	ENSG00000143727
NP_005137.1	ENSG00000175467
NP_006775.1	ENSG00000065183
NP_001099129.1	ENSG00000162620
NP_060035.2	ENSG00000108950
NP_001206.2	ENSG00000131686
NP_056446.4	ENSG00000119977
NP_000097.3	ENSG00000100197
NP_071450.2	ENSG00000015532
NP_005376.2	ENSG00000114857
NP_003259.2	ENSG00000187554
NP_001337944.2	ENSG00000166024
NP_002831.2	ENSG00000142949
NP_203753.1	ENSG00000166004
NP_001116801.1	ENSG00000126804
NP_004325.2	ENSG00000109743
NP_006243.2	ENSG00000162409
NP_689883.1	ENSG00000172073
NP_001035881.1	ENSG00000172748
NP_001290437.1	ENSG00000175329
NP_066924.1	ENSG00000163347
NP_001258867.1	ENSG00000105429
NP_006357.1	ENSG00000112186
NP_003177.2	ENSG00000149591
NP_001186253.1	ENSG00000197619
NP_001121631.1	ENSG00000141252
NP_647475.1	ENSG00000167772
NP_036443.1	ENSG00000151657
NP_001264044.1	ENSG00000105877
NP_001333739.1	ENSG00000198010
NP_001995.1	ENSG00000160752
NP_861453.1	ENSG00000187166
NP_115699.1	ENSG00000163472
NP_000751.1	ENSG00000119535
NP_001365003.1	ENSG00000144857
NP_003325.2	ENSG00000130985
NP_982261.2	ENSG00000119844
NP_001008537.1	ENSG00000050030
NP_619642.2	ENSG00000173662
NP_002808.3	ENSG00000185627
NP_002842.2	ENSG00000106278
NP_061141.2	ENSG00000140553
NP_001091671.1	ENSG00000164850
NP_009097.2	ENSG00000073921
NP_112219.3	ENSG00000142303
NP_060733.4	ENSG00000143970
NP_055836.1	ENSG00000188994
NP_001027025.2	ENSG00000205126
NP_061743.1	ENSG00000253537
NP_002345.2	ENSG00000119888
NP_065930.2	ENSG00000135205
NP_059129.3	ENSG00000095777
NP_056207.3	ENSG00000107281
NP_443097.1	ENSG00000125871
NP_658983.3	ENSG00000185272
NP_060616.1	ENSG00000171861
NP_775483.1	ENSG00000138286
NP_777557.1	ENSG00000167104
NP_037398.2	ENSG00000183230
NP_005236.2	ENSG00000083857
NP_001285.1	ENSG00000104853
NP_001010939.2	ENSG00000204022
NP_065968.1	ENSG00000142065
NP_004439.2	ENSG00000141736
NP_003174.3	ENSG00000151694
NP_060479.3	ENSG00000139192
NP_689473.1	ENSG00000166133
NP_001357524.1	ENSG00000256053
NP_002282.2	ENSG00000091136
NP_037450.2	ENSG00000288701
NP_997248.2	ENSG00000197953
NP_001861.2	ENSG00000163751
NP_001284648.1	ENSG00000133794
NP_036373.1	ENSG00000124523
NP_057355.2	ENSG00000134758
NP_000682.3	ENSG00000108602
NP_001120867.1	ENSG00000144401
NP_000526.2	ENSG00000122512
NP_001035799.1	ENSG00000143028
NP_001305781.1	ENSG00000138834
NP_065740.2	ENSG00000185052
NP_001381598.1	ENSG00000176155
NP_005496.4	ENSG00000073060
NP_001930.2	ENSG00000102385
NP_001026882.2	ENSG00000066651
NP_598194.1	ENSG00000182185
NP_000225.1	ENSG00000105486
NP_001258934.1	ENSG00000182938
NP_078917.2	ENSG00000172469
NP_003130.2	ENSG00000182934
NP_064575.1	ENSG00000116774
NP_005091.2	ENSG00000131016
NP_001071092.1	ENSG00000196605
NP_612410.1	ENSG00000141971
NP_056422.2	ENSG00000160679
NP_038474.2	ENSG00000133606
NP_114153.1	ENSG00000120329
NP_542178.2	ENSG00000149599
NP_002716.1	ENSG00000188783
NP_061950.2	ENSG00000244122
NP_002692.2	ENSG00000204531
NP_116205.3	ENSG00000121289
NP_057284.1	ENSG00000128534
