NP_001079.1	F1T0I5
NP_003079.1	A0A384MEG1
NP_004587.1	P09012
NP_003081.2	P09661
NP_003077.2	Q5SXM2
NP_008869.1	P62314
NP_003083.1	P08579
NP_003084.1	P09234
NP_001371576.1	P62316
NP_003085.1	P62304
NP_003086.1	P62306
NP_004166.1	P62318
NP_003087.1	P62308
NP_003082.1	Q66K91
NP_003089.1	Q13424
NP_003088.1	P63162
NP_066301.1	Q13884
NP_003090.2	Q13596
NP_003091.2	O60749
NP_000445.1	P00441
NP_000627.2	A0A384NL29
NP_003092.4	P35610
NP_006741.1	A0A024R732
NP_003093.2	A0A140VJU8
NP_005623.1	O75808
NP_003095.2	Q00796
NP_005977.2	O00570
NP_005624.2	Q07889
NP_620305.3	P18583
NP_003097.1	A0A0U3FYV6
NP_005625.2	P41225
NP_003098.1	Q06945
NP_008872.1	A0A024R1N6
NP_000337.1	P48436
NP_008871.3	A0A024RB06
NP_008873.1	O60248
NP_003099.1	P35716
NP_008870.2	Q07890
NP_008874.2	O15370
NP_003096.2	Q92673
NP_003101.3	Q02086
NP_612482.2	P08047
NP_003102.1	Q02447
NP_003103.2	Q02446
NP_003107.1	Q9NPE6
NP_001311045.1	Q16222
NP_003109.1	P09486
NP_694859.1	P38567
NP_003105.2	Q07617
NP_055761.2	E5KRP5
NP_003110.1	Q9UQ90
NP_001366539.1	P00995
NP_003111.2	P17947
NP_003112.2	A0A024R4I5
NP_001258647.1	D6RI10
NP_004589.1	Q08629
NP_008875.1	Q13103
NP_003114.1	A0A024R629
NP_001035147.1	A0A024RDE2
NP_003115.1	P35270
NP_005979.1	P35326
NP_005978.2	P35321
NP_003116.2	P22528
NP_001375127.1	P35325
NP_008876.3	P22532
NP_001014450.1	Q96RM1
NP_001019380.2	P22531
NP_001091058.1	Q9UBC9
NP_001014313.1	Q9BYE4
NP_003117.2	P02549
NP_003121.1	P30626
NP_001038.1	P18405
NP_005980.1	P51857
NP_938033.1	P12931
NP_003120.2	Q14534
NP_008877.2	O15020
NP_003119.2	Q01082
NP_003124.1	P49458
NP_003125.3	P37108
NP_003123.2	P19623
NP_543013.1	Q9H3Y6
NP_003122.1	A0A024RD16
NP_004167.3	P36956
NP_004590.2	A0A024R1Q0
NP_003126.1	P09132
NP_055045.2	Q9UHB9
NP_003127.1	P61011
NP_008878.3	O76094
NP_003128.3	Q96SB4
NP_003131.1	A7WPU8
NP_003130.2	P08240
NP_003132.2	P19474
NP_003134.1	A4D1U3
NP_003133.1	P05455
NP_001166995.1	A0A024R983
NP_003136.1	P43308
NP_009038.1	Q9UNL2
NP_003135.2	P43307
NP_001123917.1	P28290
NP_001039.1	P61278
NP_006271.1	P51571
NP_001040.1	P30872
NP_003137.1	A0A024R4Z6
NP_001041.1	P30874
NP_001043.2	P31391
NP_001042.1	P32745
NP_005626.1	Q16384
NP_783629.1	Q16385
NP_001166031.1	P35346
NP_005627.1	O60224
NP_783729.1	O60225
NP_003923.2	A0A140VKA6
NP_001007560.1	A0A024RC40
NP_998783.1	P78524
NP_000340.2	P49675
NP_003140.1	Q99469
NP_009330.1	P42224
NP_068813.1	Q9Y5Y6
NP_003142.1	Q14765
NP_644805.1	P40763
NP_005410.1	P52630
NP_003145.1	P02808
NP_059347.2	O95793
NP_036580.2	P51692
NP_001275647.1	A0A384N5W4
NP_003144.3	P42226
NP_003146.1	P52823
NP_008879.3	A0A140VK72
NP_005411.1	P49888
NP_073563.1	Q9GZR5
NP_001369496.1	H0YDB2
NP_003148.2	P51957
NP_006272.2	A0A384MR07
NP_006273.1	Q13043
NP_000446.1	A0A0S2Z4D1
NP_001310218.1	O76039
NP_001015878.1	Q9UQB9
NP_001045.2	P50226
NP_003153.2	O43815
NP_005981.3	O94804
NP_004168.1	Q13277
NP_004594.1	Q16623
NP_004595.2	Q12846
NP_003155.2	Q13190
NP_001027392.1	P61764
NP_660294.1	A0A024R641
NP_008880.2	Q15833
NP_009200.2	O00186
NP_001046.2	P50225
NP_808220.1	P0DMM9
NP_001047.1	O00338
NP_001027558.1	A0A024RB79
NP_814444.1	O00204
NP_003159.1	P63272
NP_003158.2	A8K015
NP_003162.2	Q8IYB8
NP_003161.2	Q7KZ85
NP_003163.1	E5KRX5
NP_001104490.1	O00267
NP_598395.1	A0A024R8C5
NP_149351.1	O15260
NP_000343.2	Q09428
NP_006744.2	O75683
NP_003164.1	O43463
NP_055046.1	P23763
NP_068506.2	O95425
NP_003166.1	Q9UBD3
NP_055047.2	P63027
NP_005629.1	A0A024R061
NP_003168.2	A0A024R244
NP_003167.2	A0A024R0I2
NP_003170.1	P08247
NP_598328.1	Q92777
NP_008881.2	P17600
NP_005630.1	A0A024RBE9
NP_065834.1	Q9H2B2
NP_001353214.1	J3KP65
NP_003171.2	A0A024R4N8
NP_003173.1	P20366
NP_001048.2	P21452
NP_037383.1	A0A024RB47
NP_006274.2	O75410
NP_001049.1	P25103
NP_003174.3	B2RNB2
NP_001050.1	P29371
NP_001159577.2	A0A024R0Y4
NP_003177.2	Q01995
NP_005631.1	Q92750
NP_003175.2	Q6P1X5
NP_003176.2	O00268
NP_003178.1	Q16594
NP_006275.1	Q12962
NP_005633.2	Q15545
NP_647476.1	P49848
NP_008882.2	Q15542
NP_005635.1	Q16514
NP_005634.1	Q15544
NP_005636.1	A0A024R089
NP_001277332.1	P17542
NP_005412.1	Q16559
NP_663304.1	O43318
NP_006746.1	A0A140VK56
NP_003181.3	A0A024RCT1
NP_599150.1	Q15633
NP_000344.1	A0A140VKB7
NP_001276972.1	Q03519
NP_001366129.1	A0A3B3IS18
NP_689508.3	P26639
NP_004598.1	O75347
NP_000107.1	A0A0S2Z4K0
NP_005067.1	A1ML24
NP_005637.3	Q13395
NP_003183.2	Q15814
NP_000584.3	X5CKB3
NP_005984.3	Q9BTW9
NP_003185.1	P20226
NP_005638.1	A0A024RBV9
NP_003184.1	Q15813
NP_000345.2	P05543
NP_005985.3	A0A024QZ86
NP_004599.2	O95947
NP_852259.1	Q99593
NP_001317606.1	Q96SF7
NP_001051.1	P21731
NP_001052.3	P24557
NP_005639.1	A0A024R7Y5
NP_006747.1	A0A384MTX4
NP_003186.1	Q15560
NP_003187.1	O75764
NP_009039.1	Q15370
NP_003189.3	A0A024RAC6
NP_005987.3	A0A024RBQ4
NP_000449.1	P35680
NP_000536.6	A0A0A0MQU7
NP_001354872.1	Q9NQB0
NP_003191.1	P15923
NP_003194.3	P16383
NP_996920.1	A0A024R5Z0
NP_004600.3	Q12870
NP_005640.2	O60765
NP_009040.2	A0A1U9X8M7
NP_005988.1	Q15906
NP_001365347.1	Q9UGU0
NP_003197.2	O43680
NP_001053.2	P20061
NP_000346.2	P20062
NP_110379.2	P17987
NP_478129.1	Q96PL2
NP_001357616.1	Q8WWU5
NP_071503.1	P57738
NP_006511.1	P51808
NP_777570.1	Q8IZS6
NP_006510.1	P63172
NP_068778.1	A2BEK1
NP_003203.1	P13385
NP_003202.3	Q13569
NP_001384291.1	P51864
NP_005642.1	P48775
NP_003204.2	Q15561
NP_068780.2	P28347
NP_005800.3	P32119
NP_003205.2	Q99594
NP_003206.2	P42680
NP_003208.2	A0A024R0Z5
NP_003207.1	Q10587
NP_000450.3	Q02763
NP_005413.2	O75443
NP_059523.2	P54274
NP_005643.2	Q15554
NP_001054.2	P02787
NP_937983.2	O14746
NP_006276.2	Q15569
NP_003192.1	E5KSU5
NP_003212.2	Q92481
NP_001358995.1	A0A6E1XE14
NP_009041.2	Q99973
NP_003214.1	Q01664
NP_003213.1	Q92754
NP_005644.2	A0A024R120
NP_005645.1	P10589
NP_066285.1	F1D8R0
NP_009042.1	A0A024RDY4
NP_001171610.1	Q14188
NP_003216.1	P04155
NP_006512.2	A0A024QZ23
NP_005414.1	Q03403
NP_006278.1	P10646
NP_003218.2	Q9UP52
NP_001121620.1	P02786
NP_003227.1	P01135
NP_001035919.1	O43294
NP_000651.3	A0A499FJK2
NP_003229.1	P61812
NP_003230.1	A5YM40
NP_004603.1	P36897
NP_000349.1	A0A0S2Z4Q2
NP_003232.2	P49221
NP_003233.4	A3QNQ0
NP_003234.2	Q03167
NP_003231.2	A1NY82
NP_003236.3	Q08188
NP_004604.2	P21980
NP_000350.1	P22735
NP_000352.1	P07204
NP_003237.2	P07996
NP_009043.1	P49746
NP_003239.2	P35443
NP_003238.2	P35442
NP_003242.1	Q92748
NP_000451.1	P40225
NP_001341641.1	A0A024R2I8
NP_003240.1	P52888
NP_006279.2	B0YJA4
NP_005646.1	Q13118
NP_009044.2	Q07283
NP_071505.2	P31483
NP_003243.1	Q01085
NP_003246.1	A0A140VK57
NP_005415.1	P35590
NP_003245.1	P01033
NP_000353.1	P35625
NP_001340623.1	Q13009
NP_003247.1	Q99727
NP_955366.1	Q6FH41
NP_003249.3	A0A384MDV9
NP_004605.4	O00142
NP_001055.1	P29401
NP_003250.3	Q9UMF0
NP_003251.2	Q04725
NP_005068.2	Q04724
NP_008936.2	Q04727
NP_036596.3	O43897
NP_003253.1	Q99442
NP_003254.2	Q15399
NP_036597.1	Q9Y6L7
NP_001305718.1	A0A0S2Z4S4
NP_003256.1	O15455
NP_006280.3	Q9Y490
NP_004607.1	P19075
NP_004606.2	P41732
NP_003260.1	B6ZGT9
NP_004608.1	P48230
NP_003261.1	O43657
NP_612564.1	O00206
NP_003259.2	A0A2R8Y7Z4
NP_003262.1	A0A024RCE1
NP_003263.1	O60478
NP_003264.2	A0A024R577
NP_003265.3	P48553
NP_009045.2	A0A024R370
NP_001349995.1	O00501
NP_001027454.1	A0A024RBE7
NP_003266.1	P28289
NP_066932.1	A2VCK8
NP_005647.3	O15393
NP_003269.2	P05452
NP_000585.2	P01375
NP_003270.1	P02585
NP_066960.1	Q13829
NP_006282.2	Q03169
NP_003272.3	P19237
NP_009046.2	P98066
NP_001056.1	P19438
NP_003271.1	P63316
NP_001257437.1	P21580
NP_003273.1	P48788
NP_000354.4	P19429
NP_001057.1	P20333
NP_003275.1	P09430
NP_003274.3	P13805
NP_001263274.1	P45379
NP_005416.1	Q05952
NP_003277.1	P11387
NP_003276.3	Q92752
NP_001058.2	P11388
NP_000537.3	K7PPA8
NP_004609.1	Q13472
NP_005418.1	A1PQX5
NP_001363851.1	Q13641
NP_003278.1	Q16890
NP_001317629.1	Q02880
NP_003279.2	O43399
NP_004170.1	P17752
NP_000356.1	P60174
NP_003280.2	P07951
NP_001018005.1	D9YZV4
NP_003281.1	P67936
NP_689476.2	P06753
NP_000358.1	A0A024QZW0
NP_001193673.1	P07202
NP_001317517.1	Q5VZU9
NP_003285.2	P20231
NP_003286.1	A0A0P1J1R0
NP_003287.1	A0A024RD74
NP_003288.2	H9NIM2
NP_003283.2	P12270
NP_954870.3	P56180
NP_005649.1	Q13077
NP_001278623.1	P49116
NP_003290.1	P14625
NP_066961.2	A0A024R8H5
NP_663777.1	Q13114
NP_001029082.1	O00463
NP_004611.1	Q9Y4K3
NP_003292.1	P34981
NP_009048.1	P20396
NP_005989.3	P49368
NP_003293.2	Q15654
NP_001034794.1	Q12816
NP_001238774.1	P48995
NP_057263.1	Q9UBN4
NP_036603.1	Q9UL62
NP_004613.1	Q15631
NP_004612.2	Q9Y210
NP_000359.1	Q92574
NP_003298.2	O94759
NP_000540.2	P01222
NP_005990.1	A0A024R3V8
NP_003299.2	Q01534
NP_000360.2	A0A0A0MTJ0
NP_000539.2	P49815
NP_003301.1	Q53HC9
NP_003300.1	Q9H0U9
NP_006283.1	Q99816
NP_003303.2	A0A384NKQ2
NP_003304.1	A0A140VKC8
NP_003305.1	Q99614
NP_003302.1	Q53GA4
NP_003306.3	Q99615
NP_004614.3	O95801
NP_031370.2	A0A024R8C1
NP_003309.2	P33981
NP_001317612.1	P53804
NP_000362.1	E9KL36
NP_000361.1	P49638
NP_005992.1	P0DPH7
NP_001060.1	Q13885
NP_813977.1	P50607
NP_005991.1	P68366
NP_001061.2	P23258
NP_064512.1	Q9NNX1
NP_003312.3	A0A384ME17
NP_003313.3	O00294
NP_003315.2	O75386
NP_003314.2	O00295
NP_003318.1	P43489
NP_000465.1	Q15672
NP_003317.1	A0A024R937
NP_003319.2	P42681
NP_003316.3	P54198
NP_003320.2	H9ZYJ2
NP_003322.3	A0A024R7E4
NP_001062.1	P04818
NP_000363.1	L8B082
NP_006284.2	Q06418
NP_003323.1	O43914
NP_006749.1	Q01081
NP_000541.1	P17643
NP_001029102.1	P62987
NP_061828.1	P0CG47
NP_066289.3	P0CG48
NP_003325.2	A0A024R1A3
NP_003326.2	P41226
NP_003327.2	P49459
NP_003328.1	P63146
NP_003330.1	P62837
NP_003332.1	A0A024R2K3
NP_871620.1	A0A024RDH2
NP_689866.1	Q96LR5
NP_003329.1	A0A024QZJ2
NP_003333.1	P62253
NP_003334.2	P60604
NP_003335.1	A4D1L5
NP_003339.1	P61088
NP_003336.1	P63279
NP_003338.1	A0A024R1A4
NP_001027459.1	Q13404
NP_003343.1	A0A024R3Z2
NP_003341.1	A0M8W4
NP_055332.3	Q9NZI7
NP_055048.1	P17480
NP_004172.2	P09936
NP_003344.1	P55089
NP_005993.1	A0A140VJZ4
NP_008883.2	O75841
NP_068605.1	P25874
NP_003346.2	A0A024R5N5
NP_003347.1	A0A0S2Z4G5
NP_005650.2	Q541A5
NP_003348.1	A0A0S2Z4R6
NP_005651.1	P78381
NP_003349.1	A0A024R157
NP_003350.1	O60701
NP_006750.3	Q16851
NP_066962.2	P06133
NP_001065.2	P16662
NP_001066.1	P36537
NP_001121646.2	Q16880
NP_001067.2	P54855
NP_001068.1	O75795
NP_036606.2	Q9BZX2
NP_000364.1	A8K5J1
NP_003352.2	P07911
NP_550433.1	E5KTA5
NP_003354.2	A1LPW7
NP_066933.1	Q05707
NP_006285.1	P14927
NP_006751.1	O00526
NP_008884.1	O75631
NP_003355.1	Q16831
NP_005994.2	P47985
NP_009052.4	P55055
NP_003357.2	P22695
NP_003356.2	P31930
NP_005995.2	P07919
NP_000365.3	P06132
NP_000366.1	A0A0S2Z4T8
NP_009053.1	A0A0S2Z4U5
NP_003358.1	Q15853
NP_777367.1	P58418
NP_003359.3	O94782
NP_003360.2	Q9P2Y5
NP_003363.1	P61758
NP_006286.1	A0A024RCN6
NP_003361.1	A0A024R0V4
NP_001069.1	P19320
NP_003365.1	A0A1L1UHR1
NP_005419.2	P15498
NP_001127870.1	P52735
NP_009057.1	P55072
NP_054706.1	P18206
NP_001378892.1	A0A024QZT0
NP_005653.3	Q9Y277
NP_000367.1	F1D8P8
NP_003368.1	P49765
NP_003369.2	O15240
NP_005420.1	P49767
NP_000542.1	A0A024R2F2
NP_009058.2	P09327
NP_003372.1	P01282
NP_004615.2	P32241
NP_001104547.1	P15311
NP_003373.2	P41587
NP_003371.2	P08670
NP_004174.1	O76090
NP_003374.3	P98155
NP_009059.1	P12018
NP_542435.2	Q8NER1
NP_003375.1	Q99986
NP_006287.2	Q86Y07
NP_003376.2	P62760
NP_000629.3	D9ZGG2
NP_001362763.1	A0A140VJZ9
NP_000368.1	A0A024QYX8
NP_004175.2	A0A024R6K8
NP_071496.1	Q15056
NP_115853.2	Q9GZY6
NP_003379.4	Q9UDT6
NP_438171.1	A0A024R150
NP_003381.1	P30291
NP_005654.4	Q9H3P2
NP_005996.2	A0A0S2Z4V6
NP_001035889.1	O96028
NP_005421.1	P04628
NP_003382.1	A0A384MDX3
NP_003383.4	A0A384N611
NP_110380.1	P56703
NP_006513.1	Q9Y6F9
NP_478679.1	P56706
NP_004616.2	O00755
NP_001287868.1	D6RF47
NP_003384.2	A0A384NKY7
NP_003385.2	O00744
NP_003386.1	D9ZGG3
NP_078613.1	Q93097
NP_004618.2	O00258
NP_003387.1	O14905
NP_004617.2	O96014
NP_000544.2	Q14191
NP_000370.2	P47989
NP_000371.1	P23025
NP_066569.1	P51811
NP_004619.3	Q01831
NP_003390.4	O43895
NP_005422.1	A0A384MEK2
NP_003391.1	O14980
NP_005423.1	O43542
NP_003392.1	A0A024RAL0
NP_005424.1	P07947
NP_003394.1	P25490
NP_066964.1	P13010
NP_647539.1	P31946
NP_006752.1	P62258
NP_036611.2	P61981
NP_003396.1	A0A024R1K7
NP_663723.1	D0PNI1
NP_001070.2	P43403
NP_004621.2	A0A024R572
NP_003398.3	P26651
NP_001230631.1	O43829
NP_003399.1	Q9Y6Q3
NP_006773.2	A0A024R576
NP_003401.2	A0A024RC04
NP_003403.2	Q15915
NP_009060.2	A0A024RDY6
NP_003402.2	P08048
NP_066574.2	Q9BSG1
NP_003404.1	O60481
NP_116313.3	P17036
NP_003409.1	A0A0S2Z4K2
NP_003407.1	P17097
NP_066575.2	P17098
NP_056209.2	P21506
NP_057349.2	P17014
NP_066358.2	P17017
NP_008889.2	P17020
NP_008892.2	P17023
NP_066966.2	P17024
NP_001290210.1	P17022
NP_008896.2	P17028
NP_008894.2	A0A024R7T4
NP_062537.2	P17031
NP_008900.3	P17035
NP_001364305.1	P17040
NP_008904.1	A0A024R7T7
NP_003411.3	P13682
NP_003430.1	P17029
NP_666019.1	Q9Y5A6
NP_001311179.1	P17032
NP_008886.1	Q06732
NP_932172.1	A0A024R4T5
NP_001311073.1	A0A024R1C4
NP_003414.2	P17038
NP_008908.2	P24278
NP_001342126.2	Q6ZN08
NP_003416.1	Q02386
NP_068735.1	Q9UC06
NP_009062.2	P51815
NP_001351659.1	Q9UC07
NP_003417.2	Q16587
NP_009067.2	P51504
NP_009066.2	Q15937
NP_001289038.1	A0A590UJE0
NP_003418.2	A0A024RCU3
NP_003420.2	Q03923
NP_001284517.1	Q9UK13
NP_001276900.1	P51523
NP_009069.1	Q03938
NP_001073878.2	A8MXY4
NP_001284497.1	Q15973
NP_003421.2	Q05481
NP_001008727.1	P58317
NP_005655.1	Q13064
NP_001317636.1	P52739
NP_003424.3	P52740
NP_003426.3	P52741
NP_001339381.2	P52736
NP_001276330.1	P52742
NP_003428.1	P52737
NP_001258568.2	J3QSS9
NP_003432.1	Q15928
NP_003431.2	P52738
NP_009075.1	A0A024R1V6
NP_003433.3	P52747
NP_005997.2	A0A024R3C6
NP_009076.2	Q15072
NP_005073.2	Q14258
NP_001078853.1	A0A024R4Q0
NP_068799.2	Q9UQR1
NP_932355.3	Q12901
NP_003434.2	Q13105
NP_003437.2	P51786
NP_009077.2	Q14119
NP_001363420.1	P49910
NP_003440.1	A0A024RCP3
NP_003441.1	Q15697
NP_001166122.1	Q13360
NP_009079.2	Q9ULX5
NP_009078.1	Q9Y473
NP_008909.1	O15541
NP_001265438.2	A0A0A0MP75
NP_001018854.2	A0A024RCN4
NP_001305820.1	A0A024RCM2
NP_006290.1	A0A024RCK9
NP_006289.2	A0A024RCK7
NP_003443.2	O75820
NP_001123992.1	O14628
NP_001035893.1	O95201
NP_932354.1	P98182
NP_003446.2	A0A024R3M3
NP_004211.1	A0A0S2Z4L6
NP_001095890.1	A0A024R219
NP_009084.2	O43345
NP_037382.2	Q9UL58
NP_037381.2	Q9UL59
NP_037493.3	Q9UK11
NP_932072.1	Q9UBW7
NP_006517.1	O75362
NP_037494.2	Q9UK10
NP_001027545.1	A0A024R0P4
NP_001308574.1	Q9NZL3
NP_872296.1	Q86WZ6
NP_006291.2	Q9UIE0
NP_067017.2	Q9Y6M5
NP_003450.2	Q99726
NP_037441.2	O14863
NP_001103824.1	P21754
NP_001363161.1	Q05996
NP_009087.1	P98168
NP_003452.1	Q15942
NP_003454.1	A0A024R8J2
NP_003453.3	O14645
NP_004622.2	Q14114
NP_001380915.1	Q13029
NP_006753.1	Q13571
NP_476517.1	Q5VU50
NP_001007554.1	A0A024R0E2
NP_004623.1	P51398
NP_001337126.1	A0A804HIC4
NP_006754.1	P78543
NP_055440.1	Q9NP85
NP_036425.1	Q92626
NP_006000.2	Q71U36
NP_005658.1	O00237
NP_003457.1	Q06710
NP_006293.2	A0A384MDR6
NP_005425.1	Q13021
NP_004624.1	P27930
NP_003458.1	P61073
NP_003459.2	Q13467
NP_003460.2	P13521
NP_001230854.1	A0A024R2W7
NP_006755.5	A0A0R4J2F6
NP_001276989.1	Q13214
NP_006001.5	P55145
NP_001364469.1	A0A590UJK3
NP_004628.4	A0A158RFU6
NP_751892.1	Q14722
NP_006518.1	Q14493
NP_005660.4	Q00765
NP_003461.2	Q93009
NP_003463.1	P35659
NP_005659.1	Q92187
NP_001071.1	P51649
NP_149417.1	A0A024RCU2
NP_004631.1	A0A024RCM3
NP_008910.2	A0A024RCX7
NP_066983.1	A0A1U9X777
NP_055049.1	A0A1U9X7U3
NP_009091.3	A0A1U9X844
NP_002895.3	A0A1U9X830
NP_995311.2	A0A024RCT6
NP_004629.3	P48634
NP_001258873.1	A0A024RCY3
NP_005661.1	O95278
NP_005075.3	Q13093
NP_002351.1	A0A024R804
NP_006295.1	P60896
NP_006519.1	P48307
NP_006294.2	A0A024QZY1
NP_008911.1	Q99551
NP_059108.1	Q9NPG1
NP_001356527.1	H7BXS2
NP_006756.2	Q13454
NP_036388.2	A0A090N8N3
NP_005663.2	D3DWI6
NP_005662.2	A0A087WV67
NP_006520.2	O75311
NP_008912.2	A0A024R168
NP_031397.1	A0A024R8H6
NP_005426.2	Q12774
NP_006757.2	Q92794
NP_835258.1	F1T0D5
NP_003464.1	Q92783
NP_005427.2	Q16204
NP_689920.1	P16260
NP_001138735.1	A0A024QZI5
NP_001182555.1	P55197
NP_005076.3	P35658
NP_003466.1	A0A024RCE4
NP_031399.2	Q9UQ13
NP_003468.2	O00330
NP_003467.1	A2TDB8
NP_001275902.1	Q5JRP2
NP_005429.1	A0A0S2Z595
NP_536316.1	Q12974
NP_065689.1	Q9GZV9
NP_003469.2	Q93034
NP_003471.1	Q13361
NP_001092006.1	A0A140VJZ1
NP_001369155.1	Q15773
NP_005077.2	Q14714
NP_056480.1	Q9NRG9
NP_006521.1	O95619
NP_005078.2	P51114
NP_004633.1	O14519
NP_003474.1	P52926
NP_008913.2	Q15699
NP_006522.2	A0A140VJL7
NP_004634.1	Q86U42
NP_001267471.1	Q92784
NP_001171147.1	Q15743
NP_068801.1	A0A024R6G5
NP_006296.1	A0A384P5U2
NP_001070818.1	Q12980
NP_071324.1	A0A0S2Z4W2
NP_003477.4	Q01650
NP_006002.1	B2R9U8
NP_005431.1	P52198
NP_631961.1	Q92804
NP_004636.1	P38432
NP_570116.2	Q13477
NP_009094.3	Q15849
NP_003479.1	A0A140VK05
NP_006523.1	P55199
NP_009096.2	Q15428
NP_006524.1	A0A024R0P1
NP_004810.2	A0A024R0R6
NP_006003.1	Q16740
NP_001092752.1	Q16600
NP_740754.1	Q9NPJ1
NP_001128627.2	A0A804CCM0
NP_000548.2	F1T0J1
NP_005432.1	Q13112
NP_004640.4	A0A140VKB0
NP_858045.1	Q9Y6Q9
NP_005666.2	Q14129
NP_073210.1	Q96DF8
NP_003480.2	P48552
NP_003481.3	A0A024R1I8
NP_006758.2	A0A384NL67
NP_036359.3	O43824
NP_004641.1	A0A024RBU8
NP_036212.3	Q08623
NP_005079.2	Q02040
NP_005080.1	Q15696
NP_009029.3	P53675
NP_001358001.1	G5E9A6
NP_005667.2	A0A0S2Z4W4
NP_003482.1	P41227
NP_004178.2	P41229
NP_001034680.2	Q93008
NP_055050.1	P11441
NP_006005.2	Q14657
NP_003483.1	Q14656
NP_036283.2	P23610
NP_062822.1	P09131
NP_006297.2	A0A384MR33
NP_036385.3	P51854
NP_003484.1	Q16695
NP_000493.1	P11678
NP_006006.3	O14497
NP_003486.1	B2R4R0
NP_005668.2	Q9Y215
NP_004644.2	Q9BY66
NP_003489.1	O75324
NP_038459.1	O43908
NP_009097.2	A0A024R5P1
NP_004645.2	O00507
NP_003491.1	Q99424
NP_003492.2	O15254
NP_004647.1	A0A024R305
NP_003493.1	A0A0S2Z4R0
NP_003494.1	A0A384MTU6
NP_003495.1	O75419
NP_006759.3	Q7Z569
NP_003496.1	Q9UP38
NP_036325.2	Q9ULV1
NP_003498.1	O75084
NP_003497.2	A0A024R9E9
NP_003499.1	O00144
NP_001364233.1	Q5VTD9
NP_003501.1	A4FTV9
NP_003500.1	A4FTV9
NP_003502.1	A4FTV9
NP_066544.1	Q99878
NP_003505.1	A4FTV9
NP_003503.1	A0A024R017
NP_003504.2	P04908
NP_003507.1	Q6FI13
NP_114072.1	Q9H461
NP_003511.1	A0A024RCJ9
NP_003509.1	B2R4S9
NP_003508.1	Q16777
NP_003512.1	Q99879
NP_003513.1	B2R4S9
NP_003510.1	Q99880
NP_003514.2	B2R4S9
NP_003516.1	B2R4S9
NP_003515.1	Q93079
NP_003517.2	B2R4S9
NP_003518.2	P23527
NP_003519.1	Q16778
NP_003520.1	P68431
NP_001363866.1	P68431
NP_003522.1	P68431
NP_003523.1	P68431
NP_003524.1	P68431
NP_003525.1	P68431
NP_003526.1	P68431
NP_003528.1	P68431
NP_003529.1	B2R4R0
NP_003530.1	B2R4R0
NP_003527.1	P68431
NP_003531.1	B2R4R0
NP_003532.1	B2R4R0
NP_003533.1	B2R4R0
NP_068803.1	B2R4R0
NP_003534.1	B2R4R0
NP_003535.1	B2R4R0
NP_003536.1	B2R4R0
NP_003537.1	B2R4R0
NP_003539.1	B2R4R0
NP_003538.1	Q99525
NP_003540.2	O43820
NP_003542.1	A0A0S2Z4L9
NP_055381.1	A0A126GVQ6
NP_001013858.1	Q9Y6D9
NP_055380.2	A0A126GWA2
NP_003544.2	P30953
NP_001129110.1	Q99755
NP_003545.1	A0A126GW81
NP_003546.1	A0A126GW57
NP_003549.1	O14986
NP_003550.1	P78356
NP_003551.2	O60733
NP_003552.1	O15496
NP_003553.2	Q02978
NP_004180.1	O95416
NP_004675.3	Q14515
NP_001007229.1	O43791
NP_006298.1	P78539
NP_003555.1	A0A384MTL2
NP_003556.2	O75385
NP_003560.2	O15400
NP_003559.2	O76027
NP_003558.1	A0A384MTS3
NP_003977.1	O75936
NP_003557.3	Q15075
NP_068804.1	Q15466
NP_003562.1	Q13515
NP_003566.1	A0A090N8Y3
NP_003568.2	Q5T230
NP_001027467.2	Q5U0E6
NP_066934.1	O95980
NP_004648.1	O95810
NP_003569.1	O75908
NP_003570.2	Q92698
NP_003573.2	O43781
NP_003571.2	Q92636
NP_003572.2	A0A0S2Z4M6
NP_055051.1	O15228
NP_003576.2	Q14184
NP_006473.2	Q92630
NP_003577.2	Q14183
NP_003578.2	O60231
NP_003582.2	A0A140VKB1
NP_001008895.1	Q13619
NP_003581.1	A0A024R475
NP_003583.2	A0A090N7U0
NP_001356298.1	O15353
NP_647537.1	O75882
NP_003586.3	A0A024R1G9
NP_003588.1	O14901
NP_003587.1	A0A024RDK9
NP_003585.3	Q9UNY4
NP_003590.1	A0A024RD67
NP_003593.3	O75344
NP_003592.3	O60264
NP_858058.1	O15294
NP_001366079.1	A0A804CF45
NP_003601.1	P78406
NP_003600.2	Q9BW71
NP_003599.2	B5B0C2
NP_003605.1	O60755
NP_003602.1	E9KL37
NP_003604.4	O75339
NP_003608.1	A0A024R8X9
NP_003603.1	O75326
NP_003609.2	Q8IVH8
NP_003610.2	P56730
NP_003611.1	A0A0S2Z4M2
NP_003612.3	Q8ND30
NP_015561.1	Q9H6Z4
NP_003618.1	A0A024R4Y3
NP_003619.2	Q99569
NP_003617.1	Q13136
NP_003616.2	O75334
NP_003621.1	P56589
NP_003620.3	Q92569
NP_003622.2	Q86W56
NP_003624.1	O14682
NP_003625.2	Q9BPW8
NP_003626.1	P52849
NP_003623.1	P78357
NP_004181.1	P07098
NP_008914.1	O75900
NP_003628.2	O75578
NP_003629.2	P53708
NP_003632.4	P13164
NP_001093327.1	Q9Y6K9
NP_003631.2	O95163
NP_003634.2	Q9NP62
NP_003638.1	A1L4Q0
NP_958839.1	O60861
NP_001186196.1	Q13574
